"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",16334,50128,45414,,1789,90.6,3.6
"De 12 a 14 años (001)",2099,25,25,,9,100,36
"De 15 a 19 años (002)",2928,1220,1190,327,97.5,26.8,
"De 20 a 24 años (003)",2314,3785,3635,474,96,12.5,
"De 25 a 29 años (004)",1946,5155,4912,419,95.3,8.1,
"De 30 a 34 años (005)",1482,5648,5303,291,93.9,5.2,
"De 35 a 39 años (006)",1362,6403,5992,183,93.6,2.9,
"De 40 a 44 años (007)",1064,6140,5671,69,92.4,1.1,
"De 45 a 49 años (008)",878,5545,4991,17,90,0.3,
"De 50 y más años (009)",2261,16207,13695,,84.5,,
"Conviviente (010)",6975,25840,23647,1236,91.5,4.8,
"De 12 a 14 años (011)",66,16,16,4,100,25,
"De 15 a 19 años (012)",1022,931,908,238,97.5,25.6,
"De 20 a 24 años (013)",1441,2845,2725,357,95.8,12.5,
"De 25 a 29 años (014)",1211,3610,3433,292,95.1,8.1,
"De 30 a 34 años (015)",869,3447,3224,183,93.5,5.3,
"De 35 a 39 años (016)",739,3676,3426,114,93.2,3.1,
"De 40 a 44 años (017)",534,3182,2909,37,91.4,1.2,
"De 45 a 49 años (018)",378,2692,2395,11,89,0.4,
"De 50 y más años (019)",715,5441,4611,,84.7,,
"Separado(a) (020)",385,1241,1139,54,91.8,4.4,
"De 12 a 14 años (021)",1,1,1,1,100,100,
"De 15 a 19 años (022)",48,54,54,16,100,29.6,
"De 20 a 24 años (023)",79,127,123,16,96.9,12.6,
"De 25 a 29 años (024)",63,133,126,13,94.7,9.8,
"De 30 a 34 años (025)",40,145,131,5,90.3,3.4,
"De 35 a 39 años (026)",35,119,111,2,93.3,1.7,
"De 40 a 44 años (027)",19,95,94,1,98.9,1.1,
"De 45 a 49 años (028)",31,166,151,,91,,
"De 50 y más años (029)",69,401,348,,86.8,,
"Casado(a) (030)",3685,18748,16970,404,90.5,2.2,
"De 12 a 14 años (031)",6,1,1,1,100,100,
"De 15 a 19 años (032)",99,97,93,29,95.9,29.9,
"De 20 a 24 años (033)",309,587,565,71,96.3,12.1,
"De 25 a 29 años (034)",433,1227,1174,103,95.7,8.4,
"De 30 a 34 años (035)",478,1922,1821,97,94.7,5,
