"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia VILCAS HUAMAN (000)",22188,1184,2714,3071,2056,2849,2770,4755,2789
"Sabe leer y escribir (001)",16223,,1946,3040,2012,2679,2431,3141,974
"No sabe leer y escribir (002)",5965,1184,768,31,44,170,339,1614,1815
"Hombres (004)",10776,593,1357,1546,1085,1410,1398,2180,1207
"Sabe leer y escribir (005)",8901,,958,1529,1067,1366,1309,1904,768
"No sabe leer y escribir (006)",1875,593,399,17,18,44,89,276,439
"Mujeres (008)",11412,591,1357,1525,971,1439,1372,2575,1582
"Sabe leer y escribir (009)",7322,,988,1511,945,1313,1122,1237,206
"No sabe leer y escribir (010)",4090,591,369,14,26,126,250,1338,1376
,,,,,,,,,
"URBANA (012)",7100,330,756,930,709,942,988,1581,864
"Sabe leer y escribir (013)",5674,,571,918,699,909,931,1239,407
"No sabe leer y escribir (014)",1426,330,185,12,10,33,57,342,457
"Hombres (016)",3479,170,376,444,365,466,497,785,376
"Sabe leer y escribir (017)",3039,,276,437,363,456,485,734,288
"No sabe leer y escribir (018)",440,170,100,7,2,10,12,51,88
"Mujeres (020)",3621,160,380,486,344,476,491,796,488
"Sabe leer y escribir (021)",2635,,295,481,336,453,446,505,119
"No sabe leer y escribir (022)",986,160,85,5,8,23,45,291,369
,,,,,,,,,
"RURAL (024)",15088,854,1958,2141,1347,1907,1782,3174,1925
"Sabe leer y escribir (025)",10549,,1375,2122,1313,1770,1500,1902,567
"No sabe leer y escribir (026)",4539,854,583,19,34,137,282,1272,1358
"Hombres (028)",7297,423,981,1102,720,944,901,1395,831
"Sabe leer y escribir (029)",5862,,682,1092,704,910,824,1170,480
"No sabe leer y escribir (030)",1435,423,299,10,16,34,77,225,351
"Mujeres (032)",7791,431,977,1039,627,963,881,1779,1094
"Sabe leer y escribir (033)",4687,,693,1030,609,860,676,732,87
"No sabe leer y escribir (034)",3104,431,284,9,18,103,205,1047,1007
