"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARI (000)",59801,21810,37991
"Casa independiente (001)",57875,21579,36296
"Departamento en edificio (002)",46,46,
"Vivienda en quinta (003)",30,30,
"Vivienda en casa de vecindad (004)",99,99,
"Choza o cabaña (005)",1691,,1691
"Vivienda improvisada (006)",4,4,
"Local no dest.para hab. humana (007)",45,41,4
"Otro tipo (008)",11,11,
