"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PIURA (000)",623137,29475,66219,72462,69661,116786,92339,137552,38643
"Sin nivel (001)",79387,29475,6354,1317,1424,3294,7083,18554,11886
"Educación inicial (002)",19103,,18241,459,106,166,131,,
"Primaria (003)",200028,,41624,47251,11694,21699,21472,39977,16311
"Secundaria (004)",175558,,,23435,43348,40492,28813,34503,4967
"Superior no univ. incompleto (005)",32249,,,,6135,12716,6449,6254,695
"Superior no univ. completo (006)",47068,,,,,13799,14086,17108,2075
"Superior univ. incompleto (007)",30471,,,,6954,14578,3391,5034,514
"Superior univ. completo (008)",39273,,,,,10042,10914,16122,2195
"Hombres (010)",305995,15057,33829,36551,34888,56462,43727,66768,18713
"Sin nivel (011)",32274,15057,3310,658,672,1129,2198,5151,4099
"Educación inicial (012)",9719,,9328,236,51,66,38,,
"Primaria (013)",96556,,21191,23639,5435,9111,9209,19279,8692
"Secundaria (014)",94694,,,12018,22603,21998,15892,19426,2757
"Superior no univ. incompleto (015)",15771,,,,2828,5883,3188,3448,424
"Superior no univ. completo (016)",20352,,,,,6125,5976,7232,1019
"Superior univ. incompleto (017)",16287,,,,3299,7590,1864,3192,342
"Superior univ. completo (018)",20342,,,,,4560,5362,9040,1380
"Mujeres (020)",317142,14418,32390,35911,34773,60324,48612,70784,19930
"Sin nivel (021)",47113,14418,3044,659,752,2165,4885,13403,7787
"Educación inicial (022)",9384,,8913,223,55,100,93,,
"Primaria (023)",103472,,20433,23612,6259,12588,12263,20698,7619
"Secundaria (024)",80864,,,11417,20745,18494,12921,15077,2210
"Superior no univ. incompleto (025)",16478,,,,3307,6833,3261,2806,271
"Superior no univ. completo (026)",26716,,,,,7674,8110,9876,1056
"Superior univ. incompleto (027)",14184,,,,3655,6988,1527,1842,172
"Superior univ. completo (028)",18931,,,,,5482,5552,7082,815
,,,,,,,,,
"URBANA (030)",537135,24766,55551,61501,59583,101369,80131,120963,33271
"Sin nivel (031)",58986,24766,4499,881,861,2034,4517,12755,8673
"Educación inicial (032)",16856,,16079,412,100,145,120,,
