"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia PACHITEA (000)",60321,58530,1584,207
"Hombres (001)",30454,29672,688,94
"Mujeres (002)",29867,28858,896,113
"Menores de 1 año (003)",1264,899,304,61
"Hombres (004)",615,429,163,23
"Mujeres (005)",649,470,141,38
"De 1 a 5 años (006)",8528,7776,631,121
"Hombres (007)",4203,3843,302,58
"Mujeres (008)",4325,3933,329,63
"De 6 a 14 años (009)",16037,15877,146,14
"Hombres (010)",8175,8099,67,9
"Mujeres (011)",7862,7778,79,5
"De 15 a 29 años (012)",15654,15530,122,2
"Hombres (013)",7797,7759,37,1
"Mujeres (014)",7857,7771,85,1
"De 30 a 44 años (015)",9624,9557,64,3
"Hombres (016)",4895,4874,19,2
"Mujeres (017)",4729,4683,45,1
"De 45 a 64 años (018)",6363,6259,103,1
"Hombres (019)",3332,3302,29,1
"Mujeres (020)",3031,2957,74,
"De 65 a más años (021)",2851,2632,214,5
"Hombres (022)",1437,1366,71,
"Mujeres (023)",1414,1266,143,5
,,,,
"URBANA (024)",8629,8512,90,27
"Hombres (025)",4374,4319,41,14
"Mujeres (026)",4255,4193,49,13
"Menores de 1 año (027)",136,111,20,5
"Hombres (028)",79,66,10,3
"Mujeres (029)",57,45,10,2
"De 1 a 5 años (030)",947,889,38,20
"Hombres (031)",488,456,22,10
"Mujeres (032)",459,433,16,10
"De 6 a 14 años (033)",2096,2089,5,2
"Hombres (034)",1076,1074,1,1
"Mujeres (035)",1020,1015,4,1
"De 15 a 29 años (036)",2350,2347,3,
"Hombres (037)",1150,1148,2,
"Mujeres (038)",1200,1199,1,
"De 30 a 44 años (039)",1694,1690,4,
"Hombres (040)",837,837,,
"Mujeres (041)",857,853,4,
"De 45 a 64 años (042)",1022,1016,6,
"Hombres (043)",548,546,2,
"Mujeres (044)",474,470,4,
"De 65 a más años (045)",384,370,14,
"Hombres (046)",196,192,4,
"Mujeres (047)",188,178,10,
,,,,
"RURAL (048)",51692,50018,1494,180
"Hombres (049)",26080,25353,647,80
"Mujeres (050)",25612,24665,847,100
"Menores de 1 año (051)",1128,788,284,56
"Hombres (052)",536,363,153,20
"Mujeres (053)",592,425,131,36
"De 1 a 5 años (054)",7581,6887,593,101
"Hombres (055)",3715,3387,280,48
"Mujeres (056)",3866,3500,313,53
"De 6 a 14 años (057)",13941,13788,141,12
"Hombres (058)",7099,7025,66,8
"Mujeres (059)",6842,6763,75,4
"De 15 a 29 años (060)",13304,13183,119,2
"Hombres (061)",6647,6611,35,1
"Mujeres (062)",6657,6572,84,1
"De 30 a 44 años (063)",7930,7867,60,3
"Hombres (064)",4058,4037,19,2
"Mujeres (065)",3872,3830,41,1
"De 45 a 64 años (066)",5341,5243,97,1
"Hombres (067)",2784,2756,27,1
"Mujeres (068)",2557,2487,70,
"De 65 a más años (069)",2467,2262,200,5
"Hombres (070)",1241,1174,67,
"Mujeres (071)",1226,1088,133,5
