"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia DOS DE MAYO (000)",704,15,393,181,87,28
"Conviviente (001)",203,,95,83,19,6
"Separado(a) (002)",16,,5,7,4,
"Casado(a) (003)",131,,18,50,49,14
"Viudo(a) (004)",18,,1,5,6,6
"Divorciado(a) (005)",7,,5,1,1,
"Soltero(a) (006)",329,15,269,35,8,2
"Hombres (008)",525,8,265,151,79,22
"Conviviente (009)",169,,68,76,19,6
"Separado(a) (010)",8,,1,5,2,
"Casado(a) (011)",116,,16,43,44,13
"Viudo(a) (012)",11,,1,2,5,3
"Divorciado(a) (013)",3,,2,,1,
"Soltero(a) (014)",218,8,177,25,8,
"Mujeres (016)",179,7,128,30,8,6
"Conviviente (017)",34,,27,7,,
"Separado(a) (018)",8,,4,2,2,
"Casado(a) (019)",15,,2,7,5,1
"Viudo(a) (020)",7,,,3,1,3
"Divorciado(a) (021)",4,,3,1,,
"Soltero(a) (022)",111,7,92,10,,2
,,,,,,
"AREA URBANA (024)",309,4,164,91,42,8
"Conviviente (025)",99,,42,41,15,1
"Separado(a) (026)",9,,3,4,2,
"Casado(a) (027)",59,,12,25,18,4
"Viudo(a) (028)",6,,,3,1,2
"Divorciado(a) (029)",3,,1,1,1,
"Soltero(a) (030)",133,4,106,17,5,1
"Hombres (032)",232,2,113,75,36,6
"Conviviente (033)",80,,29,35,15,1
"Separado(a) (034)",3,,1,2,,
"Casado(a) (035)",52,,11,23,14,4
"Viudo(a) (036)",4,,,2,1,1
"Divorciado(a) (037)",2,,1,,1,
"Soltero(a) (038)",91,2,71,13,5,
"Mujeres (040)",77,2,51,16,6,2
"Conviviente (041)",19,,13,6,,
"Separado(a) (042)",6,,2,2,2,
"Casado(a) (043)",7,,1,2,4,
"Viudo(a) (044)",2,,,1,,1
"Divorciado(a) (045)",1,,,1,,
"Soltero(a) (046)",42,2,35,4,,1
,,,,,,
"AREA RURAL (048)",395,11,229,90,45,20
"Conviviente (049)",104,,53,42,4,5
"Separado(a) (050)",7,,2,3,2,
"Casado(a) (051)",72,,6,25,31,10
"Viudo(a) (052)",12,,1,2,5,4
"Divorciado(a) (053)",4,,4,,,
"Soltero(a) (054)",196,11,163,18,3,1
"Hombres (056)",293,6,152,76,43,16
"Conviviente (057)",89,,39,41,4,5
"Separado(a) (058)",5,,,3,2,
"Casado(a) (059)",64,,5,20,30,9
"Viudo(a) (060)",7,,1,,4,2
"Divorciado(a) (061)",1,,1,,,
"Soltero(a) (062)",127,6,106,12,3,
"Mujeres (064)",102,5,77,14,2,4
"Conviviente (065)",15,,14,1,,
"Separado(a) (066)",2,,2,,,
"Casado(a) (067)",8,,1,5,1,1
"Viudo(a) (068)",5,,,2,1,2
"Divorciado(a) (069)",3,,3,,,
"Soltero(a) (070)",69,5,57,6,,1
