"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ANTABAMBA (000)",11373,589,1419,1590,946,1387,1458,2633,1351
"Sabe leer y escribir (001)",8708,,1034,1573,928,1303,1301,1949,620
"No sabe leer y escribir (002)",2665,589,385,17,18,84,157,684,731
"Hombres (004)",5802,318,717,858,513,696,767,1321,612
"Sabe leer y escribir (005)",4931,,520,851,507,681,731,1179,462
"No sabe leer y escribir (006)",871,318,197,7,6,15,36,142,150
"Mujeres (008)",5571,271,702,732,433,691,691,1312,739
"Sabe leer y escribir (009)",3777,,514,722,421,622,570,770,158
"No sabe leer y escribir (010)",1794,271,188,10,12,69,121,542,581
,,,,,,,,,
"URBANA (012)",8029,388,1036,1222,774,922,1019,1786,882
"Sabe leer y escribir (013)",6454,,777,1209,770,890,950,1412,446
"No sabe leer y escribir (014)",1575,388,259,13,4,32,69,374,436
"Hombres (016)",4036,223,520,651,423,464,505,873,377
"Sabe leer y escribir (017)",3526,,381,644,423,458,494,808,318
"No sabe leer y escribir (018)",510,223,139,7,,6,11,65,59
"Mujeres (020)",3993,165,516,571,351,458,514,913,505
"Sabe leer y escribir (021)",2928,,396,565,347,432,456,604,128
"No sabe leer y escribir (022)",1065,165,120,6,4,26,58,309,377
,,,,,,,,,
"RURAL (024)",3344,201,383,368,172,465,439,847,469
"Sabe leer y escribir (025)",2254,,257,364,158,413,351,537,174
"No sabe leer y escribir (026)",1090,201,126,4,14,52,88,310,295
"Hombres (028)",1766,95,197,207,90,232,262,448,235
"Sabe leer y escribir (029)",1405,,139,207,84,223,237,371,144
"No sabe leer y escribir (030)",361,95,58,,6,9,25,77,91
"Mujeres (032)",1578,106,186,161,82,233,177,399,234
"Sabe leer y escribir (033)",849,,118,157,74,190,114,166,30
"No sabe leer y escribir (034)",729,106,68,4,8,43,63,233,204
