"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia GRAN CHIMU (000)",10101,1188,2677,4735,117,1178,206
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",15,15,,,,,
"Profes., científicos e intelectuales (002)",603,533,,69,1,,
"Técnicos de nivel medio y trab. asimilados (003)",199,142,,43,11,3,
"Jefes y empleados de oficina (004)",134,133,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",509,93,7,338,17,54,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",3853,1,,3783,69,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",792,,625,151,5,11,
"Obreros construc.,conf., papel, fab., instr. (008)",374,72,204,88,6,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",3356,149,1799,146,6,1050,206
"Otra (010)",26,26,,,,,
"Ocupación no especificada (011)",240,24,42,116,2,56,
"Hombres (012)",8659,735,2559,4222,100,1031,12
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",12,12,,,,,
"Profes., científicos e intelectuales (014)",288,259,,28,1,,
"Técnicos de nivel medio y trab. asimilados (015)",152,116,,25,8,3,
"Jefes y empleados de oficina (016)",83,82,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",233,43,4,161,12,13,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",3789,1,,3721,67,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",736,,611,114,4,7,
"Obreros construc.,conf., papel, fab., instr. (020)",373,72,203,88,6,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",2898,112,1715,64,1,994,12
"Otra (022)",25,25,,,,,
"Ocupación no especificada (023)",70,13,26,20,1,10,
"Mujeres (024)",1442,453,118,513,17,147,194
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,3,,,,,
"Profes., científicos e intelectuales (026)",315,274,,41,,,
"Técnicos de nivel medio y trab. asimilados (027)",47,26,,18,3,,
"Jefes y empleados de oficina (028)",51,51,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",276,50,3,177,5,41,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",64,,,62,2,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",56,,14,37,1,4,
"Obreros construc.,conf., papel, fab., instr. (032)",1,,1,,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",458,37,84,82,5,56,194
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",170,11,16,96,1,46,
,,,,,,,
"URBANA (036)",2316,557,592,881,56,154,76
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",11,11,,,,,
"Profes., científicos e intelectuales (038)",281,244,,37,,,
"Técnicos de nivel medio y trab. asimilados (039)",97,52,,33,10,2,
"Jefes y empleados de oficina (040)",66,65,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",352,56,2,236,14,44,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",366,,,343,23,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",163,,79,73,2,9,
"Obreros construc.,conf., papel, fab., instr. (044)",135,37,47,49,2,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",757,59,454,86,5,77,76
"Otra (046)",25,25,,,,,
"Ocupación no especificada (047)",63,8,10,23,,22,
"Hombres (048)",1616,293,558,626,42,92,5
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",8,8,,,,,
"Profes., científicos e intelectuales (050)",124,110,,14,,,
"Técnicos de nivel medio y trab. asimilados (051)",63,33,,21,7,2,
"Jefes y empleados de oficina (052)",27,26,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",152,17,,117,9,9,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",355,,,333,22,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",131,,74,50,1,6,
"Obreros construc.,conf., papel, fab., instr. (056)",135,37,47,49,2,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",575,33,430,35,1,71,5
"Otra (058)",24,24,,,,,
"Ocupación no especificada (059)",22,5,7,6,,4,
"Mujeres (060)",700,264,34,255,14,62,71
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",3,3,,,,,
"Profes., científicos e intelectuales (062)",157,134,,23,,,
"Técnicos de nivel medio y trab. asimilados (063)",34,19,,12,3,,
"Jefes y empleados de oficina (064)",39,39,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",200,39,2,119,5,35,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",11,,,10,1,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",32,,5,23,1,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",182,26,24,51,4,6,71
"Otra (070)",1,1,,,,,
"Ocupación no especificada (071)",41,3,3,17,,18,
,,,,,,,
"RURAL (072)",7785,631,2085,3854,61,1024,130
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",4,4,,,,,
"Profes., científicos e intelectuales (074)",322,289,,32,1,,
"Técnicos de nivel medio y trab. asimilados (075)",102,90,,10,1,1,
"Jefes y empleados de oficina (076)",68,68,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",157,37,5,102,3,10,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",3487,1,,3440,46,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",629,,546,78,3,2,
"Obreros construc.,conf., papel, fab., instr. (080)",239,35,157,39,4,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",2599,90,1345,60,1,973,130
"Otra (082)",1,1,,,,,
"Ocupación no especificada (083)",177,16,32,93,2,34,
"Hombres (084)",7043,442,2001,3596,58,939,7
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",4,4,,,,,
"Profes., científicos e intelectuales (086)",164,149,,14,1,,
"Técnicos de nivel medio y trab. asimilados (087)",89,83,,4,1,1,
"Jefes y empleados de oficina (088)",56,56,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",81,26,4,44,3,4,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",3434,1,,3388,45,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",605,,537,64,3,1,
"Obreros construc.,conf., papel, fab., instr. (092)",238,35,156,39,4,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",2323,79,1285,29,,923,7
"Otra (094)",1,1,,,,,
"Ocupación no especificada (095)",48,8,19,14,1,6,
"Mujeres (096)",742,189,84,258,3,85,123
"Profes., científicos e intelectuales (098)",158,140,,18,,,
"Técnicos de nivel medio y trab. asimilados (099)",13,7,,6,,,
"Jefes y empleados de oficina (100)",12,12,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",76,11,1,58,,6,
