"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ABANCAY (000)",31055,9023,4845,12752,549,3147,739
"Sin nivel (001)",2221,38,371,1325,20,425,42
"Educación inicial (002)",26,1,5,11,,6,3
"Primaria (003)",7196,248,1643,3886,136,1116,167
"Secundaria (004)",10511,1587,2279,4757,198,1252,438
"Superior no univ. incompleta (005)",1440,520,178,579,30,90,43
"Superior no univ. completa (006)",2603,1799,117,579,47,51,10
"Superior univ. incompleta (007)",2227,1034,181,794,48,142,28
"Superior univ. completa (008)",4831,3796,71,821,70,65,8
"Hombres (010)",19782,4876,4297,8304,419,1835,51
"Sin nivel (011)",1143,10,265,662,9,191,6
"Educación inicial (012)",12,,2,6,,4,
"Primaria (013)",4972,102,1450,2651,110,652,7
"Secundaria (014)",7205,936,2088,3173,159,815,34
"Superior no univ. incompleta (015)",859,277,161,358,21,41,1
"Superior no univ. completa (016)",1409,888,105,354,34,27,1
"Superior univ. incompleta (017)",1414,606,163,528,37,79,1
"Superior univ. completa (018)",2768,2057,63,572,49,26,1
"Mujeres (020)",11273,4147,548,4448,130,1312,688
"Sin nivel (021)",1078,28,106,663,11,234,36
"Educación inicial (022)",14,1,3,5,,2,3
"Primaria (023)",2224,146,193,1235,26,464,160
"Secundaria (024)",3306,651,191,1584,39,437,404
"Superior no univ. incompleta (025)",581,243,17,221,9,49,42
"Superior no univ. completa (026)",1194,911,12,225,13,24,9
"Superior univ. incompleta (027)",813,428,18,266,11,63,27
"Superior univ. completa (028)",2063,1739,8,249,21,39,7
,,,,,,,
"URBANA (030)",21735,8560,2787,8156,400,1161,671
"Sin nivel (031)",758,29,105,505,9,78,32
"Educación inicial (032)",15,1,3,7,,2,2
"Primaria (033)",3161,199,727,1759,65,263,148
"Secundaria (034)",7337,1449,1467,3325,139,553,404
"Superior no univ. incompleta (035)",1280,491,147,515,26,60,41
"Superior no univ. completa (036)",2426,1715,105,520,47,31,8
"Superior univ. incompleta (037)",2117,1009,166,750,47,117,28
"Superior univ. completa (038)",4641,3667,67,775,67,57,8
"Hombres (040)",12300,4607,2431,4460,282,484,36
"Sin nivel (041)",181,5,62,89,4,20,1
"Educación inicial (042)",6,,2,2,,2,
"Primaria (043)",1608,86,604,785,41,85,7
"Secundaria (044)",4508,838,1329,1943,104,270,24
"Superior no univ. incompleta (045)",745,262,133,312,17,20,1
"Superior no univ. completa (046)",1281,834,94,309,34,9,1
"Superior univ. incompleta (047)",1322,588,148,489,36,60,1
"Superior univ. completa (048)",2649,1994,59,531,46,18,1
"Mujeres (050)",9435,3953,356,3696,118,677,635
"Sin nivel (051)",577,24,43,416,5,58,31
"Educación inicial (052)",9,1,1,5,,,2
"Primaria (053)",1553,113,123,974,24,178,141
"Secundaria (054)",2829,611,138,1382,35,283,380
"Superior no univ. incompleta (055)",535,229,14,203,9,40,40
"Superior no univ. completa (056)",1145,881,11,211,13,22,7
"Superior univ. incompleta (057)",795,421,18,261,11,57,27
"Superior univ. completa (058)",1992,1673,8,244,21,39,7
,,,,,,,
"RURAL (060)",9320,463,2058,4596,149,1986,68
"Sin nivel (061)",1463,9,266,820,11,347,10
"Educación inicial (062)",11,,2,4,,4,1
"Primaria (063)",4035,49,916,2127,71,853,19
"Secundaria (064)",3174,138,812,1432,59,699,34
"Superior no univ. incompleta (065)",160,29,31,64,4,30,2
"Superior no univ. completa (066)",177,84,12,59,,20,2
"Superior univ. incompleta (067)",110,25,15,44,1,25,
"Superior univ. completa (068)",190,129,4,46,3,8,
"Hombres (070)",7482,269,1866,3844,137,1351,15
"Sin nivel (071)",962,5,203,573,5,171,5
"Educación inicial (072)",6,,,4,,2,
"Primaria (073)",3364,16,846,1866,69,567,
"Secundaria (074)",2697,98,759,1230,55,545,10
"Superior no univ. incompleta (075)",114,15,28,46,4,21,
"Superior no univ. completa (076)",128,54,11,45,,18,
"Superior univ. incompleta (077)",92,18,15,39,1,19,
"Superior univ. completa (078)",119,63,4,41,3,8,
"Mujeres (080)",1838,194,192,752,12,635,53
"Sin nivel (081)",501,4,63,247,6,176,5
"Educación inicial (082)",5,,2,,,2,1
"Primaria (083)",671,33,70,261,2,286,19
"Secundaria (084)",477,40,53,202,4,154,24
"Superior no univ. incompleta (085)",46,14,3,18,,9,2
"Superior no univ. completa (086)",49,30,1,14,,2,2
"Superior univ. incompleta (087)",18,7,,5,,6,
"Superior univ. completa (088)",71,66,,5,,,
