"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ACOMAYO (000)",7198,44,150,398,714,1211,2665,2016
"De 12 a 14 años (001)",15,,,,,,1,14
"De 15 a 19 años (002)",146,,,,,,84,62
"De 20 a 24 años (003)",653,,,,,,391,262
"De 25 a 29 años (004)",772,,,,,18,548,206
"De 30 a 34 años (005)",822,,,,,88,570,164
"De 35 a 39 años (006)",857,,,,1,187,533,136
"De 40 a 44 años (007)",743,,,,26,250,333,134
"De 45 a 49 años (008)",591,,,1,61,250,169,110
"De 50 y más años (009)",2599,44,150,397,626,418,36,928
"Conviviente (010)",2252,2,8,23,60,249,1371,539
"De 12 a 14 años (011)",9,,,,,,,9
"De 15 a 19 años (012)",111,,,,,,64,47
"De 20 a 24 años (013)",437,,,,,,305,132
"De 25 a 29 años (014)",493,,,,,10,380,103
"De 30 a 34 años (015)",383,,,,,31,281,71
"De 35 a 39 años (016)",314,,,,1,63,204,46
"De 40 a 44 años (017)",193,,,,5,58,95,35
"De 45 a 49 años (018)",107,,,,9,39,36,23
"De 50 y más años (019)",205,2,8,23,45,48,6,73
"Separado(a) (020)",228,1,5,8,11,39,103,61
"De 15 a 19 años (022)",19,,,,,,13,6
"De 20 a 24 años (023)",39,,,,,,31,8
"De 25 a 29 años (024)",33,,,,,2,19,12
"De 30 a 34 años (025)",30,,,,,6,18,6
"De 35 a 39 años (026)",23,,,,,7,13,3
"De 40 a 44 años (027)",17,,,,,9,5,3
"De 45 a 49 años (028)",15,,,,,7,4,4
"De 50 y más años (029)",52,1,5,8,11,8,,19
"Casado(a) (030)",3113,11,58,163,375,750,1078,678
"De 12 a 14 años (031)",3,,,,,,,3
"De 15 a 19 años (032)",8,,,,,,4,4
"De 20 a 24 años (033)",53,,,,,,32,21
"De 25 a 29 años (034)",170,,,,,4,136,30
"De 30 a 34 años (035)",351,,,,,46,255,50
"De 35 a 39 años (036)",466,,,,,107,298,61
"De 40 a 44 años (037)",469,,,,20,159,217,73
"De 45 a 49 años (038)",372,,,1,35,173,107,56
"De 50 y más años (039)",1221,11,58,162,320,261,29,380
"Viudo(a) (040)",1241,30,76,197,259,154,61,464
"De 20 a 24 años (043)",2,,,,,,2,
"De 25 a 29 años (044)",8,,,,,,4,4
"De 30 a 34 años (045)",14,,,,,1,9,4
"De 35 a 39 años (046)",25,,,,,5,13,7
"De 40 a 44 años (047)",44,,,,1,22,12,9
"De 45 a 49 años (048)",80,,,,15,28,20,17
"De 50 y más años (049)",1068,30,76,197,243,98,1,423
"Divorciado(a) (050)",38,,,,5,6,9,18
"De 15 a 19 años (052)",1,,,,,,,1
"De 20 a 24 años (053)",2,,,,,,1,1
