"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ALTO AMAZONAS (000)",24490,23437,132,4210,4188,3597,5389,3421,1805,695,1053,91969
"De 12 a 14 años (001)",89,40,1,33,6,,,,,,49,45
"De 15 a 19 años (002)",1676,1439,20,1079,290,39,11,,,,237,1820
"De 20 a 24 años (003)",3310,3034,23,1290,1051,482,174,14,,,276,5654
"De 25 a 29 años (004)",3513,3330,20,715,962,770,724,127,12,,183,8988
"De 30 a 34 años (005)",3001,2933,8,371,592,679,880,329,66,8,68,10193
"De 35 a 39 años (006)",3032,2982,11,204,429,582,977,530,216,33,50,12699
"De 40 a 44 años (007)",2477,2442,9,149,296,333,785,533,263,74,35,11699
"De 45 a 49 años (008)",1995,1963,6,116,190,266,513,489,274,109,32,10231
"De 50 y más años (009)",5397,5274,34,253,372,446,1325,1399,974,471,123,30640
"Conviviente (010)",13341,12882,80,2497,2589,2086,2952,1604,813,261,459,46966
"De 12 a 14 años (011)",61,16,1,12,3,,,,,,45,18
"De 15 a 19 años (012)",1260,1045,15,741,247,33,9,,,,215,1370
"De 20 a 24 años (013)",2408,2321,16,884,839,411,158,13,,,87,4537
"De 25 a 29 años (014)",2401,2361,16,415,684,577,561,99,9,,40,6655
"De 30 a 34 años (015)",1908,1893,5,177,343,428,637,245,50,8,15,7022
"De 35 a 39 años (016)",1745,1730,8,87,198,317,602,344,153,21,15,7816
"De 40 a 44 años (017)",1238,1232,6,72,111,136,404,298,160,45,6,6278
"De 45 a 49 años (018)",866,856,3,40,68,77,223,235,153,57,10,4856
"De 50 y más años (019)",1454,1428,10,69,96,107,358,370,288,130,26,8414
"Separado(a) (020)",893,876,5,194,179,158,186,108,30,16,17,2964
"De 12 a 14 años (021)",1,,,,,,,,,,1,
