"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PARINACOCHAS (000)",701,261,440
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",65,65,
"Casa pensión (003)",3,3,
"Hospital, clinica (004)",35,35,
"Aldea infantil, orfelinato, etc (007)",68,68,
"Otro (008)",465,54,411
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",65,36,29
