"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia URUBAMBA (000)",20840,54127,48028,,851,88.7,1.6
"De 12 a 14 años (001)",2055,13,13,,1,100,7.7
"De 15 a 19 años (002)",2709,254,251,62,98.8,24.4,
"De 20 a 24 años (003)",2282,1594,1563,185,98.1,11.6,
"De 25 a 29 años (004)",2340,3315,3225,241,97.3,7.3,
"De 30 a 34 años (005)",1970,4780,4581,179,95.8,3.7,
"De 35 a 39 años (006)",1842,5966,5607,122,94,2,
"De 40 a 44 años (007)",1575,6550,6035,51,92.1,0.8,
"De 45 a 49 años (008)",1312,6060,5494,10,90.7,0.2,
"De 50 y más años (009)",4755,25595,21259,,83.1,,
"Sin nivel (010)",3289,17699,14500,85,81.9,0.5,
"De 12 a 14 años (011)",20,,,,,,
"De 15 a 19 años (012)",49,9,9,1,100,11.1,
"De 20 a 24 años (013)",78,110,104,11,94.5,10,
"De 25 a 29 años (014)",137,358,336,20,93.9,5.6,
"De 30 a 34 años (015)",142,510,477,19,93.5,3.7,
"De 35 a 39 años (016)",200,876,784,22,89.5,2.5,
"De 40 a 44 años (017)",211,1118,960,9,85.9,0.8,
"De 45 a 49 años (018)",226,1201,1062,3,88.4,0.2,
"De 50 y más años (019)",2226,13517,10768,,79.7,,
"Educacion Inicial (020)",23,48,48,1,100,2.1,
"De 12 a 14 años (021)",2,,,,,,
"De 15 a 19 años (022)",5,,,,,,
"De 20 a 24 años (023)",3,2,2,,100,,
"De 25 a 29 años (024)",7,24,24,,100,,
"De 30 a 34 años (025)",4,15,15,1,100,6.7,
"De 35 a 39 años (026)",2,7,7,,100,,
"Primaria (030)",6344,22412,20075,279,89.6,1.2,
"De 12 a 14 años (031)",961,8,8,1,100,12.5,
"De 15 a 19 años (032)",376,75,74,15,98.7,20,
"De 20 a 24 años (033)",367,470,454,57,96.6,12.1,
"De 25 a 29 años (034)",472,1104,1070,76,96.9,6.9,
"De 30 a 34 años (035)",575,1897,1796,58,94.7,3.1,
"De 35 a 39 años (036)",682,2747,2560,42,93.2,1.5,
"De 40 a 44 años (037)",709,3409,3121,27,91.6,0.8,
"De 45 a 49 años (038)",600,3253,2926,3,89.9,0.1,
"De 50 y más años (039)",1602,9449,8066,,85.4,,
