"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",15850,1374,1609,7771,103,4794,199
"Sin nivel (001)",2925,8,190,1416,19,1269,23
"Educación inicial (002)",72,,1,11,,60,
"Primaria (003)",7510,107,753,3855,33,2661,101
"Secundaria (004)",3885,266,579,2176,37,754,73
"Superior no univ. incompleta (005)",379,201,41,111,2,22,2
"Superior no univ. completa (006)",522,399,20,83,8,12,
"Superior univ. incompleta (007)",176,106,9,55,,6,
"Superior univ. completa (008)",381,287,16,64,4,10,
"Hombres (010)",9754,966,1150,5869,67,1682,20
"Sin nivel (011)",918,1,74,702,2,138,1
"Educación inicial (012)",22,,,2,,20,
"Primaria (013)",4628,62,483,3034,24,1019,6
"Secundaria (014)",3094,192,513,1868,31,477,13
"Superior no univ. incompleta (015)",293,147,36,96,1,13,
"Superior no univ. completa (016)",391,292,19,69,6,5,
"Superior univ. incompleta (017)",131,74,9,43,,5,
"Superior univ. completa (018)",277,198,16,55,3,5,
"Mujeres (020)",6096,408,459,1902,36,3112,179
"Sin nivel (021)",2007,7,116,714,17,1131,22
"Educación inicial (022)",50,,1,9,,40,
"Primaria (023)",2882,45,270,821,9,1642,95
"Secundaria (024)",791,74,66,308,6,277,60
"Superior no univ. incompleta (025)",86,54,5,15,1,9,2
"Superior no univ. completa (026)",131,107,1,14,2,7,
"Superior univ. incompleta (027)",45,32,,12,,1,
"Superior univ. completa (028)",104,89,,9,1,5,
,,,,,,,
"URBANA (030)",4116,788,569,1902,60,649,148
"Sin nivel (031)",238,6,24,135,1,66,6
"Educación inicial (032)",8,,,,,8,
"Primaria (033)",1492,84,204,794,21,315,74
"Secundaria (034)",1559,185,286,757,30,234,67
"Superior no univ. incompleta (035)",182,76,30,67,1,7,1
"Superior no univ. completa (036)",290,206,12,60,3,9,
"Superior univ. incompleta (037)",82,39,5,37,,1,
"Superior univ. completa (038)",265,192,8,52,4,9,
"Hombres (040)",2632,500,478,1331,45,262,16
"Sin nivel (041)",82,1,15,59,,7,
"Educación inicial (042)",3,,,,,3,
"Primaria (043)",851,42,151,529,16,109,4
"Secundaria (044)",1121,127,260,565,25,132,12
"Superior no univ. incompleta (045)",134,49,27,55,,3,
"Superior no univ. completa (046)",200,135,12,49,1,3,
"Superior univ. incompleta (047)",61,25,5,30,,1,
"Superior univ. completa (048)",180,121,8,44,3,4,
"Mujeres (050)",1484,288,91,571,15,387,132
"Sin nivel (051)",156,5,9,76,1,59,6
"Educación inicial (052)",5,,,,,5,
"Primaria (053)",641,42,53,265,5,206,70
"Secundaria (054)",438,58,26,192,5,102,55
"Superior no univ. incompleta (055)",48,27,3,12,1,4,1
"Superior no univ. completa (056)",90,71,,11,2,6,
"Superior univ. incompleta (057)",21,14,,7,,,
"Superior univ. completa (058)",85,71,,8,1,5,
,,,,,,,
"RURAL (060)",11734,586,1040,5869,43,4145,51
"Sin nivel (061)",2687,2,166,1281,18,1203,17
"Educación inicial (062)",64,,1,11,,52,
"Primaria (063)",6018,23,549,3061,12,2346,27
"Secundaria (064)",2326,81,293,1419,7,520,6
"Superior no univ. incompleta (065)",197,125,11,44,1,15,1
"Superior no univ. completa (066)",232,193,8,23,5,3,
"Superior univ. incompleta (067)",94,67,4,18,,5,
"Superior univ. completa (068)",116,95,8,12,,1,
"Hombres (070)",7122,466,672,4538,22,1420,4
"Sin nivel (071)",836,,59,643,2,131,1
"Educación inicial (072)",19,,,2,,17,
"Primaria (073)",3777,20,332,2505,8,910,2
"Secundaria (074)",1973,65,253,1303,6,345,1
"Superior no univ. incompleta (075)",159,98,9,41,1,10,
"Superior no univ. completa (076)",191,157,7,20,5,2,
"Superior univ. incompleta (077)",70,49,4,13,,4,
"Superior univ. completa (078)",97,77,8,11,,1,
"Mujeres (080)",4612,120,368,1331,21,2725,47
"Sin nivel (081)",1851,2,107,638,16,1072,16
"Educación inicial (082)",45,,1,9,,35,
"Primaria (083)",2241,3,217,556,4,1436,25
"Secundaria (084)",353,16,40,116,1,175,5
"Superior no univ. incompleta (085)",38,27,2,3,,5,1
"Superior no univ. completa (086)",41,36,1,3,,1,
"Superior univ. incompleta (087)",24,18,,5,,1,
"Superior univ. completa (088)",19,18,,1,,,
