"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CAJABAMBA (000)",17179,74046,4145,17989,13034,56057
"Casa independiente (001)",16906,72891,4061,17597,12845,55294
"Departamento en edificio (002)",7,26,7,26,,
"Vivienda en quinta (003)",34,188,34,188,,
"Vivienda en casa de vecindad (004)",32,137,32,137,,
"Choza o cabaña (005)",186,753,,,186,753
"Vivienda improvisada (006)",2,6,2,6,,
"Local no dest.para hab. humana (007)",9,35,6,25,3,10
"Otro tipo (008)",3,10,3,10,,
