"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia RECUAY (000)",18084,743,1805,1986,1798,2946,2285,4350,2171
"Sabe leer y escribir (001)",15354,,1375,1960,1774,2891,2201,3797,1356
"No sabe leer y escribir (002)",2730,743,430,26,24,55,84,553,815
"Hombres (004)",8831,379,904,1035,938,1459,1098,2065,953
"Sabe leer y escribir (005)",7965,,680,1020,931,1442,1076,1988,828
"No sabe leer y escribir (006)",866,379,224,15,7,17,22,77,125
"Mujeres (008)",9253,364,901,951,860,1487,1187,2285,1218
"Sabe leer y escribir (009)",7389,,695,940,843,1449,1125,1809,528
"No sabe leer y escribir (010)",1864,364,206,11,17,38,62,476,690
,,,,,,,,,
"URBANA (012)",10288,393,1027,1061,1028,1691,1333,2486,1269
"Sabe leer y escribir (013)",8922,,810,1050,1016,1671,1294,2215,866
"No sabe leer y escribir (014)",1366,393,217,11,12,20,39,271,403
"Hombres (016)",4932,207,521,549,532,821,607,1162,533
"Sabe leer y escribir (017)",4504,,410,542,529,814,595,1125,489
"No sabe leer y escribir (018)",428,207,111,7,3,7,12,37,44
"Mujeres (020)",5356,186,506,512,496,870,726,1324,736
"Sabe leer y escribir (021)",4418,,400,508,487,857,699,1090,377
"No sabe leer y escribir (022)",938,186,106,4,9,13,27,234,359
,,,,,,,,,
"RURAL (024)",7796,350,778,925,770,1255,952,1864,902
"Sabe leer y escribir (025)",6432,,565,910,758,1220,907,1582,490
"No sabe leer y escribir (026)",1364,350,213,15,12,35,45,282,412
"Hombres (028)",3899,172,383,486,406,638,491,903,420
"Sabe leer y escribir (029)",3461,,270,478,402,628,481,863,339
"No sabe leer y escribir (030)",438,172,113,8,4,10,10,40,81
"Mujeres (032)",3897,178,395,439,364,617,461,961,482
"Sabe leer y escribir (033)",2971,,295,432,356,592,426,719,151
"No sabe leer y escribir (034)",926,178,100,7,8,25,35,242,331
