"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUARAL (000)",65436,14666,20212,23709,1813,3210,1826
"Agric., ganadería, caza y silvicultura (001)",20674,368,11674,5916,1091,1625,
"Pesca (002)",700,35,334,312,7,12,
"Explotación de minas y canteras (003)",261,46,204,6,3,2,
"Industrias manufactureras (004)",4274,410,2201,1461,73,129,
"Suministro de electricidad, gas y agua (005)",258,105,150,3,,,
"Construcción (006)",3017,69,1979,897,59,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",12536,2552,633,7973,320,1058,
"Venta, mant.y rep. veh.autom y motoc. (008)",1198,194,285,652,46,21,
"Comercio al por mayor (009)",951,386,128,344,28,65,
"Comercio al por menor (010)",10387,1972,220,6977,246,972,
"Hoteles y restaurantes (011)",3033,985,267,1544,89,148,
"Trans., almac. y comunicaciones (012)",6194,1293,1283,3519,68,31,
"Intermediación financiera (013)",234,219,1,5,1,8,
"Activid.inmobil., empres. y alquileres (014)",2756,1983,308,416,35,14,
"Admin.pub. y defensa; p. segur soc.afil (015)",1647,1431,216,,,,
"Enseñanza (016)",3241,3013,,211,12,5,
"Servicios sociales y de salud (017)",924,746,14,149,11,4,
"Otras activ. serv.comun.soc y personales (018)",2417,929,506,899,28,55,
"Hogares privados con servicio doméstico (019)",1826,,,,,,1826
"Organiz. y organos extraterritoriales (020)",5,5,,,,,
"Actividad economica no especificada (021)",1439,477,442,398,16,106,
"Hombres (022)",43115,8069,16014,16115,1423,1428,66
"Agric., ganadería, caza y silvicultura (023)",15575,281,8510,4937,943,904,
"Pesca (024)",686,30,329,308,7,12,
"Explotación de minas y canteras (025)",251,40,202,5,2,2,
"Industrias manufactureras (026)",3196,284,1729,1024,53,106,
"Suministro de electricidad, gas y agua (027)",239,87,149,3,,,
"Construcción (028)",2972,59,1953,888,59,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",6326,1362,599,3934,193,238,
"Venta, mant.y rep. veh.autom y motoc. (030)",1112,146,278,629,43,16,
"Comercio al por mayor (031)",595,248,117,199,16,15,
"Comercio al por menor (032)",4619,968,204,3106,134,207,
"Hoteles y restaurantes (033)",992,411,125,377,43,36,
"Trans., almac. y comunicaciones (034)",5826,1066,1237,3435,65,23,
"Intermediación financiera (035)",125,114,1,3,1,6,
"Activid.inmobil., empres. y alquileres (036)",2027,1404,266,323,25,9,
"Admin.pub. y defensa; p. segur soc.afil (037)",1084,893,191,,,,
"Enseñanza (038)",1196,1095,,93,6,2,
"Servicios sociales y de salud (039)",293,206,9,70,6,2,
"Otras activ. serv.comun.soc y personales (040)",1497,524,413,514,12,34,
"Hogares privados con servicio doméstico (041)",66,,,,,,66
"Organiz. y organos extraterritoriales (042)",4,4,,,,,
"Actividad economica no especificada (043)",760,209,301,201,8,41,
"Mujeres (044)",22321,6597,4198,7594,390,1782,1760
"Agric., ganadería, caza y silvicultura (045)",5099,87,3164,979,148,721,
"Pesca (046)",14,5,5,4,,,
"Explotación de minas y canteras (047)",10,6,2,1,1,,
"Industrias manufactureras (048)",1078,126,472,437,20,23,
"Suministro de electricidad, gas y agua (049)",19,18,1,,,,
"Construcción (050)",45,10,26,9,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",6210,1190,34,4039,127,820,
"Venta, mant.y rep. veh.autom y motoc. (052)",86,48,7,23,3,5,
"Comercio al por mayor (053)",356,138,11,145,12,50,
"Comercio al por menor (054)",5768,1004,16,3871,112,765,
"Hoteles y restaurantes (055)",2041,574,142,1167,46,112,
"Trans., almac. y comunicaciones (056)",368,227,46,84,3,8,
"Intermediación financiera (057)",109,105,,2,,2,
"Activid.inmobil., empres. y alquileres (058)",729,579,42,93,10,5,
"Admin.pub. y defensa; p. segur soc.afil (059)",563,538,25,,,,
"Enseñanza (060)",2045,1918,,118,6,3,
"Servicios sociales y de salud (061)",631,540,5,79,5,2,
"Otras activ. serv.comun.soc y personales (062)",920,405,93,385,16,21,
"Hogares privados con servicio doméstico (063)",1760,,,,,,1760
"Organiz. y organos extraterritoriales (064)",1,1,,,,,
"Actividad economica no especificada (065)",679,268,141,197,8,65,
,,,,,,,
"URBANA (066)",53933,13576,14352,20786,1222,2407,1590
"Agric., ganadería, caza y silvicultura (067)",12662,297,6699,4147,548,971,
"Pesca (068)",672,34,318,301,7,12,
"Explotación de minas y canteras (069)",245,43,193,6,3,,
"Industrias manufactureras (070)",3828,378,1985,1345,62,58,
"Suministro de electricidad, gas y agua (071)",240,97,140,3,,,
"Construcción (072)",2788,67,1801,852,55,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",11757,2387,565,7482,299,1024,
"Venta, mant.y rep. veh.autom y motoc. (074)",1120,177,266,616,40,21,
"Comercio al por mayor (075)",864,358,100,317,26,63,
"Comercio al por menor (076)",9773,1852,199,6549,233,940,
"Hoteles y restaurantes (077)",2803,918,227,1439,86,133,
"Trans., almac. y comunicaciones (078)",5667,1179,1133,3263,61,31,
"Intermediación financiera (079)",221,206,1,5,1,8,
"Activid.inmobil., empres. y alquileres (080)",2576,1838,285,405,35,13,
"Admin.pub. y defensa; p. segur soc.afil (081)",1423,1293,130,,,,
"Enseñanza (082)",3038,2841,,180,12,5,
"Servicios sociales y de salud (083)",863,688,14,146,11,4,
"Otras activ. serv.comun.soc y personales (084)",2250,872,473,832,28,45,
"Hogares privados con servicio doméstico (085)",1590,,,,,,1590
"Organiz. y organos extraterritoriales (086)",5,5,,,,,
"Actividad economica no especificada (087)",1305,433,388,380,14,90,
"Hombres (088)",34723,7409,11564,13844,897,956,53
"Agric., ganadería, caza y silvicultura (089)",9438,223,4851,3377,450,537,
"Pesca (090)",658,29,313,297,7,12,
"Explotación de minas y canteras (091)",236,38,191,5,2,,
"Industrias manufactureras (092)",2833,264,1553,935,43,38,
"Suministro de electricidad, gas y agua (093)",223,81,139,3,,,
"Construcción (094)",2744,57,1775,844,55,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",5949,1272,533,3734,183,227,
"Venta, mant.y rep. veh.autom y motoc. (096)",1041,135,259,594,37,16,
"Comercio al por mayor (097)",535,231,89,185,16,14,
"Comercio al por menor (098)",4373,906,185,2955,130,197,
"Hoteles y restaurantes (099)",912,380,108,350,42,32,
"Trans., almac. y comunicaciones (100)",5325,966,1094,3184,58,23,
"Intermediación financiera (101)",118,107,1,3,1,6,
"Activid.inmobil., empres. y alquileres (102)",1887,1298,243,313,25,8,
"Admin.pub. y defensa; p. segur soc.afil (103)",891,783,108,,,,
"Enseñanza (104)",1117,1035,,74,6,2,
"Servicios sociales y de salud (105)",282,195,9,70,6,2,
"Otras activ. serv.comun.soc y personales (106)",1379,492,385,465,12,25,
"Hogares privados con servicio doméstico (107)",53,,,,,,53
"Organiz. y organos extraterritoriales (108)",4,4,,,,,
"Actividad economica no especificada (109)",674,185,261,190,7,31,
