"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCAYO (000)",189573,182487,63197,27529,26642,19215,23490,12640,6330,3444,7086,414678
"De 12 a 14 años (001)",15806,15745,15689,50,6,,,,,,61,62
"De 15 a 19 años (002)",25496,25267,23398,1643,180,26,20,,,,229,2161
"De 20 a 24 años (003)",23561,21043,12337,6156,2024,413,88,25,,,2518,11977
"De 25 a 29 años (004)",20331,18239,5072,6500,4262,1658,679,55,13,,2092,23286
"De 30 a 34 años (005)",18132,17239,2394,4462,5237,2906,1889,306,38,7,893,34063
"De 35 a 39 años (006)",16735,16302,1165,2764,4627,3528,3133,859,192,34,433,43618
"De 40 a 44 años (007)",14821,14580,794,1736,3334,3123,3578,1392,506,117,241,47848
"De 45 a 49 años (008)",12764,12604,524,1227,2416,2367,3357,1733,720,260,160,47865
"De 50 y más años (009)",41927,41468,1824,2991,4556,5194,10746,8270,4861,3026,459,203798
"Sin nivel (010)",15109,14842,900,917,1166,1358,3479,3205,2223,1594,267,80364
"De 12 a 14 años (011)",75,75,73,2,,,,,,,,2
"De 15 a 19 años (012)",147,146,124,20,2,,,,,,1,24
"De 20 a 24 años (013)",200,182,69,46,36,12,12,7,,,18,252
"De 25 a 29 años (014)",267,243,38,49,50,49,51,4,2,,24,553
"De 30 a 34 años (015)",520,500,36,61,101,122,126,45,9,,20,1536
"De 35 a 39 años (016)",718,694,40,41,94,128,221,125,38,7,24,2789
"De 40 a 44 años (017)",960,943,40,55,81,103,302,207,113,42,17,4611
"De 45 a 49 años (018)",1027,1010,27,37,72,84,285,248,174,83,17,5700
"De 50 y más años (019)",11195,11049,453,606,730,860,2482,2569,1887,1462,146,64897
"Educacion Inicial (020)",207,198,93,35,26,13,23,8,,,9,278
