"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia PUNO (000)",229236,227453,974,809
"Hombres (001)",113121,112302,386,433
"Mujeres (002)",116115,115151,588,376
"Menores de 1 año (003)",3510,3130,255,125
"Hombres (004)",1775,1576,142,57
"Mujeres (005)",1735,1554,113,68
"De 1 a 5 años (006)",20193,19306,221,666
"Hombres (007)",10443,9962,108,373
"Mujeres (008)",9750,9344,113,293
"De 6 a 14 años (009)",41745,41726,15,4
"Hombres (010)",21655,21646,8,1
"Mujeres (011)",20090,20080,7,3
"De 15 a 29 años (012)",63067,63058,7,2
"Hombres (013)",31236,31232,3,1
"Mujeres (014)",31831,31826,4,1
"De 30 a 44 años (015)",45025,45010,14,1
"Hombres (016)",21292,21284,8,
"Mujeres (017)",23733,23726,6,1
"De 45 a 64 años (018)",37548,37514,33,1
"Hombres (019)",18033,18028,5,
"Mujeres (020)",19515,19486,28,1
"De 65 a más años (021)",18148,17709,429,10
"Hombres (022)",8687,8574,112,1
"Mujeres (023)",9461,9135,317,9
,,,,
"URBANA (024)",136754,135921,423,410
"Hombres (025)",67202,66790,199,213
"Mujeres (026)",69552,69131,224,197
"Menores de 1 año (027)",2114,1874,169,71
"Hombres (028)",1077,950,99,28
"Mujeres (029)",1037,924,70,43
"De 1 a 5 años (030)",11667,11201,131,335
"Hombres (031)",6000,5748,69,183
"Mujeres (032)",5667,5453,62,152
"De 6 a 14 años (033)",24423,24416,7,
"Hombres (034)",12586,12580,6,
"Mujeres (035)",11837,11836,1,
"De 15 a 29 años (036)",41204,41199,4,1
"Hombres (037)",20355,20353,1,1
"Mujeres (038)",20849,20846,3,
"De 30 a 44 años (039)",29538,29533,5,
"Hombres (040)",13753,13749,4,
"Mujeres (041)",15785,15784,1,
"De 45 a 64 años (042)",21285,21273,12,
"Hombres (043)",10396,10394,2,
"Mujeres (044)",10889,10879,10,
"De 65 a más años (045)",6523,6425,95,3
"Hombres (046)",3035,3016,18,1
"Mujeres (047)",3488,3409,77,2
,,,,
"RURAL (048)",92482,91532,551,399
"Hombres (049)",45919,45512,187,220
"Mujeres (050)",46563,46020,364,179
"Menores de 1 año (051)",1396,1256,86,54
"Hombres (052)",698,626,43,29
"Mujeres (053)",698,630,43,25
"De 1 a 5 años (054)",8526,8105,90,331
"Hombres (055)",4443,4214,39,190
"Mujeres (056)",4083,3891,51,141
"De 6 a 14 años (057)",17322,17310,8,4
"Hombres (058)",9069,9066,2,1
"Mujeres (059)",8253,8244,6,3
"De 15 a 29 años (060)",21863,21859,3,1
"Hombres (061)",10881,10879,2,
"Mujeres (062)",10982,10980,1,1
"De 30 a 44 años (063)",15487,15477,9,1
"Hombres (064)",7539,7535,4,
"Mujeres (065)",7948,7942,5,1
"De 45 a 64 años (066)",16263,16241,21,1
"Hombres (067)",7637,7634,3,
"Mujeres (068)",8626,8607,18,1
"De 65 a más años (069)",11625,11284,334,7
"Hombres (070)",5652,5558,94,
"Mujeres (071)",5973,5726,240,7
