"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia AZANGARO (000)",136829,135504,741,584
"Hombres (001)",66613,66033,259,321
"Mujeres (002)",70216,69471,482,263
"Menores de 1 año (003)",2366,2044,211,111
"Hombres (004)",1162,1003,104,55
"Mujeres (005)",1204,1041,107,56
"De 1 a 5 años (006)",14784,14216,125,443
"Hombres (007)",7596,7271,70,255
"Mujeres (008)",7188,6945,55,188
"De 6 a 14 años (009)",30976,30953,12,11
"Hombres (010)",15706,15691,7,8
"Mujeres (011)",15270,15262,5,3
"De 15 a 29 años (012)",34912,34906,5,1
"Hombres (013)",17037,17035,2,
"Mujeres (014)",17875,17871,3,1
"De 30 a 44 años (015)",22560,22535,15,10
"Hombres (016)",10506,10499,5,2
"Mujeres (017)",12054,12036,10,8
"De 45 a 64 años (018)",19817,19770,47,
"Hombres (019)",9302,9295,7,
"Mujeres (020)",10515,10475,40,
"De 65 a más años (021)",11414,11080,326,8
"Hombres (022)",5304,5239,64,1
"Mujeres (023)",6110,5841,262,7
,,,,
"URBANA (024)",37508,37187,127,194
"Hombres (025)",18676,18513,52,111
"Mujeres (026)",18832,18674,75,83
"Menores de 1 año (027)",642,556,64,22
"Hombres (028)",311,264,35,12
"Mujeres (029)",331,292,29,10
"De 1 a 5 años (030)",3946,3750,31,165
"Hombres (031)",2041,1934,13,94
"Mujeres (032)",1905,1816,18,71
"De 6 a 14 años (033)",8236,8231,1,4
"Hombres (034)",4195,4192,,3
"Mujeres (035)",4041,4039,1,1
"De 15 a 29 años (036)",10707,10705,2,
"Hombres (037)",5292,5290,2,
"Mujeres (038)",5415,5415,,
"De 30 a 44 años (039)",7110,7109,,1
"Hombres (040)",3345,3344,,1
"Mujeres (041)",3765,3765,,
"De 45 a 64 años (042)",4811,4810,1,
"Hombres (043)",2524,2524,,
"Mujeres (044)",2287,2286,1,
"De 65 a más años (045)",2056,2026,28,2
"Hombres (046)",968,965,2,1
"Mujeres (047)",1088,1061,26,1
,,,,
"RURAL (048)",99321,98317,614,390
"Hombres (049)",47937,47520,207,210
"Mujeres (050)",51384,50797,407,180
"Menores de 1 año (051)",1724,1488,147,89
"Hombres (052)",851,739,69,43
"Mujeres (053)",873,749,78,46
"De 1 a 5 años (054)",10838,10466,94,278
"Hombres (055)",5555,5337,57,161
"Mujeres (056)",5283,5129,37,117
"De 6 a 14 años (057)",22740,22722,11,7
"Hombres (058)",11511,11499,7,5
"Mujeres (059)",11229,11223,4,2
"De 15 a 29 años (060)",24205,24201,3,1
"Hombres (061)",11745,11745,,
"Mujeres (062)",12460,12456,3,1
"De 30 a 44 años (063)",15450,15426,15,9
"Hombres (064)",7161,7155,5,1
"Mujeres (065)",8289,8271,10,8
"De 45 a 64 años (066)",15006,14960,46,
"Hombres (067)",6778,6771,7,
"Mujeres (068)",8228,8189,39,
"De 65 a más años (069)",9358,9054,298,6
"Hombres (070)",4336,4274,62,
"Mujeres (071)",5022,4780,236,6
