"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUAURA (000)",3358,30,1774,940,513,101
"Conviviente (001)",783,,329,320,115,19
"Separado(a) (002)",126,,25,58,39,4
"Casado(a) (003)",632,,73,245,263,51
"Viudo(a) (004)",26,,1,6,9,10
"Divorciado(a) (005)",14,,1,6,7,
"Soltero(a) (006)",1777,30,1345,305,80,17
"Hombres (008)",2139,19,1060,590,380,90
"Conviviente (009)",501,,174,212,97,18
"Separado(a) (010)",53,,5,24,21,3
"Casado(a) (011)",418,,31,143,195,49
"Viudo(a) (012)",12,,,4,2,6
"Divorciado(a) (013)",3,,,,3,
"Soltero(a) (014)",1152,19,850,207,62,14
"Mujeres (016)",1219,11,714,350,133,11
"Conviviente (017)",282,,155,108,18,1
"Separado(a) (018)",73,,20,34,18,1
"Casado(a) (019)",214,,42,102,68,2
"Viudo(a) (020)",14,,1,2,7,4
"Divorciado(a) (021)",11,,1,6,4,
"Soltero(a) (022)",625,11,495,98,18,3
,,,,,,
"AREA URBANA (024)",3072,26,1616,867,477,86
"Conviviente (025)",718,,304,293,104,17
"Separado(a) (026)",115,,22,56,34,3
"Casado(a) (027)",590,,71,229,247,43
"Viudo(a) (028)",24,,1,6,9,8
"Divorciado(a) (029)",14,,1,6,7,
"Soltero(a) (030)",1611,26,1217,277,76,15
"Hombres (032)",1935,17,959,533,351,75
"Conviviente (033)",452,,159,191,86,16
"Separado(a) (034)",47,,4,23,18,2
"Casado(a) (035)",388,,31,132,184,41
"Viudo(a) (036)",10,,,4,2,4
"Divorciado(a) (037)",3,,,,3,
"Soltero(a) (038)",1035,17,765,183,58,12
"Mujeres (040)",1137,9,657,334,126,11
"Conviviente (041)",266,,145,102,18,1
"Separado(a) (042)",68,,18,33,16,1
"Casado(a) (043)",202,,40,97,63,2
"Viudo(a) (044)",14,,1,2,7,4
"Divorciado(a) (045)",11,,1,6,4,
"Soltero(a) (046)",576,9,452,94,18,3
,,,,,,
"AREA RURAL (048)",286,4,158,73,36,15
"Conviviente (049)",65,,25,27,11,2
"Separado(a) (050)",11,,3,2,5,1
"Casado(a) (051)",42,,2,16,16,8
"Viudo(a) (052)",2,,,,,2
"Soltero(a) (054)",166,4,128,28,4,2
"Hombres (056)",204,2,101,57,29,15
"Conviviente (057)",49,,15,21,11,2
"Separado(a) (058)",6,,1,1,3,1
"Casado(a) (059)",30,,,11,11,8
"Viudo(a) (060)",2,,,,,2
"Soltero(a) (062)",117,2,85,24,4,2
"Mujeres (064)",82,2,57,16,7,
"Conviviente (065)",16,,10,6,,
"Separado(a) (066)",5,,2,1,2,
"Casado(a) (067)",12,,2,5,5,
"Soltero(a) (070)",49,2,43,4,,
