"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MOYOBAMBA (000)",40727,7016,6122,20533,1390,4376,1290
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",79,75,,,4,,
"Profes., científicos e intelectuales (002)",2939,2626,,271,36,6,
"Técnicos de nivel medio y trab. asimilados (003)",1099,722,,308,48,18,3
"Jefes y empleados de oficina (004)",1340,1320,,9,,11,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4245,1021,49,2494,159,522,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",14204,7,11,13248,937,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1674,,453,1091,83,47,
"Obreros construc.,conf., papel, fab., instr. (008)",2900,269,736,1783,84,28,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",11054,600,4717,844,18,3588,1287
"Otra (010)",177,177,,,,,
"Ocupación no especificada (011)",1016,199,156,485,21,155,
"Hombres (012)",29988,3851,5305,16847,1196,2734,55
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",54,52,,,2,,
"Profes., científicos e intelectuales (014)",1609,1393,,184,28,4,
"Técnicos de nivel medio y trab. asimilados (015)",689,443,,202,30,13,1
"Jefes y empleados de oficina (016)",603,599,,3,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1743,518,20,1036,74,95,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",13295,4,8,12391,891,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1386,,414,863,75,34,
"Obreros construc.,conf., papel, fab., instr. (020)",2840,265,720,1744,83,28,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",7254,309,4052,307,5,2527,54
"Otra (022)",167,167,,,,,
"Ocupación no especificada (023)",348,101,91,117,8,31,
"Mujeres (024)",10739,3165,817,3686,194,1642,1235
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",25,23,,,2,,
"Profes., científicos e intelectuales (026)",1330,1233,,87,8,2,
"Técnicos de nivel medio y trab. asimilados (027)",410,279,,106,18,5,2
"Jefes y empleados de oficina (028)",737,721,,6,,10,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2502,503,29,1458,85,427,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",909,3,3,857,46,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",288,,39,228,8,13,
"Obreros construc.,conf., papel, fab., instr. (032)",60,4,16,39,1,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",3800,291,665,537,13,1061,1233
"Otra (034)",10,10,,,,,
"Ocupación no especificada (035)",668,98,65,368,13,124,
,,,,,,,
"URBANA (036)",25855,6805,3507,11547,871,1961,1164
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",77,73,,,4,,
"Profes., científicos e intelectuales (038)",2843,2538,,264,36,5,
"Técnicos de nivel medio y trab. asimilados (039)",1073,708,,299,47,16,3
"Jefes y empleados de oficina (040)",1315,1295,,9,,11,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",3879,978,44,2242,148,467,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",5468,5,4,5020,438,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",1558,,423,1011,80,44,
"Obreros construc.,conf., papel, fab., instr. (044)",2721,260,691,1668,81,21,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",6113,583,2228,811,16,1314,1161
"Otra (046)",177,177,,,,,
"Ocupación no especificada (047)",631,188,117,223,21,82,
"Hombres (048)",17150,3720,3011,8644,700,1038,37
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",52,50,,,2,,
"Profes., científicos e intelectuales (050)",1546,1334,,181,28,3,
"Técnicos de nivel medio y trab. asimilados (051)",669,433,,194,30,11,1
"Jefes y empleados de oficina (052)",583,579,,3,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",1587,503,20,910,69,85,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",4971,2,3,4560,405,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",1279,,384,790,73,32,
"Obreros construc.,conf., papel, fab., instr. (056)",2667,256,675,1635,80,21,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",3346,296,1853,292,5,864,36
"Otra (058)",167,167,,,,,
"Ocupación no especificada (059)",283,100,76,79,8,20,
"Mujeres (060)",8705,3085,496,2903,171,923,1127
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",25,23,,,2,,
"Profes., científicos e intelectuales (062)",1297,1204,,83,8,2,
"Técnicos de nivel medio y trab. asimilados (063)",404,275,,105,17,5,2
"Jefes y empleados de oficina (064)",732,716,,6,,10,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",2292,475,24,1332,79,382,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",497,3,1,460,33,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",279,,39,221,7,12,
"Obreros construc.,conf., papel, fab., instr. (068)",54,4,16,33,1,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",2767,287,375,519,11,450,1125
"Otra (070)",10,10,,,,,
"Ocupación no especificada (071)",348,88,41,144,13,62,
,,,,,,,
"RURAL (072)",14872,211,2615,8986,519,2415,126
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",2,2,,,,,
"Profes., científicos e intelectuales (074)",96,88,,7,,1,
"Técnicos de nivel medio y trab. asimilados (075)",26,14,,9,1,2,
"Jefes y empleados de oficina (076)",25,25,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",366,43,5,252,11,55,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",8736,2,7,8228,499,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",116,,30,80,3,3,
"Obreros construc.,conf., papel, fab., instr. (080)",179,9,45,115,3,7,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",4941,17,2489,33,2,2274,126
"Ocupación no especificada (083)",385,11,39,262,,73,
"Hombres (084)",12838,131,2294,8203,496,1696,18
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",2,2,,,,,
"Profes., científicos e intelectuales (086)",63,59,,3,,1,
"Técnicos de nivel medio y trab. asimilados (087)",20,10,,8,,2,
"Jefes y empleados de oficina (088)",20,20,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",156,15,,126,5,10,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",8324,2,5,7831,486,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",107,,30,73,2,2,
"Obreros construc.,conf., papel, fab., instr. (092)",173,9,45,109,3,7,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",3908,13,2199,15,,1663,18
"Ocupación no especificada (095)",65,1,15,38,,11,
"Mujeres (096)",2034,80,321,783,23,719,108
