"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CORONEL PORTILLO (000)",242900,42020,52446,50445,40583,28148,29258
"Conviviente (001)",92223,1707,17110,29779,22548,12556,8523
"Separado(a) (002)",8603,111,1012,1842,2052,1777,1809
"Casado(a) (003)",41514,136,1412,6706,10873,10388,11999
"Viudo(a) (004)",6431,29,58,167,462,893,4822
"Divorciado(a) (005)",896,,35,92,183,236,350
"Soltero(a) (006)",93233,40037,32819,11859,4465,2298,1755
"Hombres (008)",122634,21185,25798,24773,20330,14840,15708
"Conviviente (009)",44043,537,5669,14029,11661,7055,5092
"Separado(a) (010)",3122,33,186,499,740,748,916
"Casado(a) (011)",20344,63,377,2636,5041,5274,6953
"Viudo(a) (012)",1842,20,16,48,138,239,1381
"Divorciado(a) (013)",420,,18,36,74,110,182
"Soltero(a) (014)",52863,20532,19532,7525,2676,1414,1184
"Mujeres (016)",120266,20835,26648,25672,20253,13308,13550
"Conviviente (017)",48180,1170,11441,15750,10887,5501,3431
"Separado(a) (018)",5481,78,826,1343,1312,1029,893
"Casado(a) (019)",21170,73,1035,4070,5832,5114,5046
"Viudo(a) (020)",4589,9,42,119,324,654,3441
"Divorciado(a) (021)",476,,17,56,109,126,168
"Soltero(a) (022)",40370,19505,13287,4334,1789,884,571
,,,,,,,
"URBANA (024)",207833,35470,44943,43264,35074,24279,24803
"Conviviente (025)",75563,1279,13682,24713,18902,10364,6623
"Separado(a) (026)",7556,91,845,1639,1819,1595,1567
"Casado(a) (027)",37070,109,1194,6007,9855,9332,10573
"Viudo(a) (028)",5582,29,46,140,389,760,4218
"Divorciado(a) (029)",820,,32,84,172,214,318
"Soltero(a) (030)",81242,33962,29144,10681,3937,2014,1504
"Hombres (032)",102759,17685,21813,20742,17095,12495,12929
"Conviviente (033)",35484,430,4418,11369,9578,5775,3914
"Separado(a) (034)",2522,28,142,413,597,611,731
"Casado(a) (035)",18022,53,315,2342,4535,4685,6092
"Viudo(a) (036)",1400,20,9,38,97,168,1068
"Divorciado(a) (037)",379,,17,32,68,98,164
"Soltero(a) (038)",44952,17154,16912,6548,2220,1158,960
"Mujeres (040)",105074,17785,23130,22522,17979,11784,11874
"Conviviente (041)",40079,849,9264,13344,9324,4589,2709
"Separado(a) (042)",5034,63,703,1226,1222,984,836
"Casado(a) (043)",19048,56,879,3665,5320,4647,4481
"Viudo(a) (044)",4182,9,37,102,292,592,3150
"Divorciado(a) (045)",441,,15,52,104,116,154
"Soltero(a) (046)",36290,16808,12232,4133,1717,856,544
,,,,,,,
"RURAL (048)",35067,6550,7503,7181,5509,3869,4455
"Conviviente (049)",16660,428,3428,5066,3646,2192,1900
"Separado(a) (050)",1047,20,167,203,233,182,242
"Casado(a) (051)",4444,27,218,699,1018,1056,1426
"Viudo(a) (052)",849,,12,27,73,133,604
"Divorciado(a) (053)",76,,3,8,11,22,32
"Soltero(a) (054)",11991,6075,3675,1178,528,284,251
"Hombres (056)",19875,3500,3985,4031,3235,2345,2779
"Conviviente (057)",8559,107,1251,2660,2083,1280,1178
"Separado(a) (058)",600,5,44,86,143,137,185
"Casado(a) (059)",2322,10,62,294,506,589,861
"Viudo(a) (060)",442,,7,10,41,71,313
"Divorciado(a) (061)",41,,1,4,6,12,18
"Soltero(a) (062)",7911,3378,2620,977,456,256,224
"Mujeres (064)",15192,3050,3518,3150,2274,1524,1676
"Conviviente (065)",8101,321,2177,2406,1563,912,722
"Separado(a) (066)",447,15,123,117,90,45,57
"Casado(a) (067)",2122,17,156,405,512,467,565
"Viudo(a) (068)",407,,5,17,32,62,291
"Divorciado(a) (069)",35,,2,4,5,10,14
"Soltero(a) (070)",4080,2697,1055,201,72,28,27
