"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia YUNGUYO (000)",20174,247,5351,6174,5930,2472
"Agric., ganadería, caza y silvicultura (001)",11212,157,2171,2853,3879,2152
"Pesca (002)",213,2,59,74,62,16
"Explotación de minas y canteras (003)",5,,2,2,1,
"Industrias manufactureras (004)",1247,10,590,433,183,31
"Suministro de electricidad, gas y agua (005)",10,,2,4,4,
"Construcción (006)",879,1,217,323,304,34
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2488,29,780,993,581,105
"Venta, mant.y rep. veh.autom.y motoc. (008)",131,1,60,44,23,3
"Comercio al por mayor (009)",135,1,47,53,29,5
"Comercio al por menor (010)",2222,27,673,896,529,97
"Hoteles y restaurantes (011)",305,8,92,107,83,15
"Trans., almac. y comunicaciones (012)",675,5,239,260,158,13
"Intermediación financiera (013)",22,1,4,9,6,2
"Activid.inmobil., empres. y alquileres (014)",137,,43,67,25,2
"Admin.pub. y defensa; p. segur.soc afil (015)",333,,80,150,97,6
"Enseñanza (016)",687,,135,344,203,5
"Servicios sociales y de salud (017)",117,,21,56,39,1
"Otras activ. serv.comun.soc y personales (018)",112,7,49,26,20,10
"Hogares privados con servicio doméstico (019)",243,8,136,57,31,11
"Actividad economica no especificada (021)",333,1,90,87,113,42
"Desocupado (022)",1156,18,641,329,141,27
"Hombres (023)",11649,126,3020,3601,3433,1469
"Agric., ganadería, caza y silvicultura (024)",5992,82,1099,1496,2031,1284
"Pesca (025)",162,2,44,59,46,11
"Explotación de minas y canteras (026)",4,,1,2,1,
"Industrias manufactureras (027)",860,3,415,302,122,18
"Suministro de electricidad, gas y agua (028)",10,,2,4,4,
"Construcción (029)",866,1,212,316,303,34
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1100,12,345,432,268,43
"Venta, mant.y rep. veh.autom.y motoc. (031)",111,1,53,35,19,3
"Comercio al por mayor (032)",68,1,22,26,15,4
"Comercio al por menor (033)",921,10,270,371,234,36
"Hoteles y restaurantes (034)",80,3,23,23,26,5
"Trans., almac. y comunicaciones (035)",649,5,220,254,157,13
"Intermediación financiera (036)",8,,,7,1,
"Activid.inmobil., empres. y alquileres (037)",106,,28,53,24,1
"Admin.pub. y defensa; p. segur.soc afil (038)",290,,63,132,90,5
"Enseñanza (039)",426,,67,196,159,4
"Servicios sociales y de salud (040)",60,,8,27,24,1
