"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ISLAY (000)",20269,19280,5417,3216,3735,2527,2589,1080,490,226,989,43169
"De 12 a 14 años (001)",1475,1468,1464,4,,,,,,,7,4
"De 15 a 19 años (002)",2204,2174,1969,188,13,1,3,,,,30,229
"De 20 a 24 años (003)",2024,1763,886,645,197,25,7,3,,,261,1164
"De 25 a 29 años (004)",2068,1862,340,775,543,160,42,1,1,,206,2532
"De 30 a 34 años (005)",2078,1983,175,553,778,325,139,12,,1,95,3763
"De 35 a 39 años (006)",1921,1864,128,318,672,450,252,37,6,1,57,4367
"De 40 a 44 años (007)",1723,1665,92,213,508,398,348,82,20,4,58,4664
"De 45 a 49 años (008)",1449,1409,58,156,337,322,384,118,26,8,40,4537
"De 50 y más años (009)",5327,5092,305,364,687,846,1414,827,437,212,235,21909
"Conviviente (010)",4949,4851,385,1468,1354,730,592,220,68,34,98,11288
"De 12 a 14 años (011)",11,7,6,1,,,,,,,4,1
"De 15 a 19 años (012)",218,196,56,128,12,,,,,,22,152
"De 20 a 24 años (013)",770,733,138,424,143,22,4,2,,,37,806
"De 25 a 29 años (014)",1044,1022,82,443,351,112,33,1,,,22,1625
"De 30 a 34 años (015)",879,876,23,229,376,157,84,7,,,3,1853
"De 35 a 39 años (016)",702,701,23,111,233,192,117,21,4,,1,1809
"De 40 a 44 años (017)",465,464,16,52,116,124,112,32,9,3,1,1459
"De 45 a 49 años (018)",299,298,11,34,57,52,98,36,8,2,1,1061
"De 50 y más años (019)",561,554,30,46,66,71,144,121,47,29,7,2522
"Separado(a) (020)",928,911,25,220,224,141,171,88,33,9,17,2774
"De 12 a 14 años (021)",1,1,1,,,,,,,,,
"De 15 a 19 años (022)",5,5,,5,,,,,,,,5
"De 20 a 24 años (023)",61,52,4,37,10,1,,,,,9,60
