"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUARI (000)",22082,21355,6529,2210,2137,1841,3194,2426,1746,1272,727,70847
"De 12 a 14 años (001)",2409,2390,2379,8,3,,,,,,19,14
"De 15 a 19 años (002)",2931,2869,2572,253,37,3,4,,,,62,352
"De 20 a 24 años (003)",2231,2003,777,713,375,102,30,6,,,228,1932
"De 25 a 29 años (004)",1900,1729,244,447,478,308,230,20,2,,171,3436
"De 30 a 34 años (005)",1608,1543,77,229,342,334,405,126,28,2,65,4722
"De 35 a 39 años (006)",1793,1742,70,135,260,282,557,317,101,20,51,7060
"De 40 a 44 años (007)",1563,1536,46,62,169,193,434,374,196,62,27,7671
"De 45 a 49 años (008)",1350,1334,41,65,109,140,322,298,228,131,16,7457
"De 50 y más años (009)",6297,6209,323,298,364,479,1212,1285,1191,1057,88,38203
"Sin nivel (010)",6775,6619,413,373,518,592,1401,1325,1095,902,156,37446
"De 12 a 14 años (011)",18,18,17,1,,,,,,,,1
"De 15 a 19 años (012)",102,96,71,15,5,2,3,,,,6,43
"De 20 a 24 años (013)",147,140,45,53,31,9,2,,,,7,151
"De 25 a 29 años (014)",208,190,7,28,61,48,41,4,1,,18,503
"De 30 a 34 años (015)",376,357,17,26,62,74,122,45,11,,19,1278
"De 35 a 39 años (016)",492,469,14,30,46,51,157,117,41,13,23,2208
"De 40 a 44 años (017)",550,542,14,13,38,51,160,137,94,35,8,3017
"De 45 a 49 años (018)",539,533,20,16,30,44,112,125,115,71,6,3299
"De 50 y más años (019)",4343,4274,208,191,245,313,804,897,833,783,69,26946
"Educacion Inicial (020)",40,40,17,3,7,4,6,3,,,,77
"De 12 a 14 años (021)",10,10,10,,,,,,,,,
"De 15 a 19 años (022)",5,5,2,2,1,,,,,,,4
