"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia QUISPICANCHI (000)",28394,84439,69972,,1767,82.9,2.1
"De 12 a 14 años (001)",3227,11,11,,1,100,9.1
"De 15 a 19 años (002)",3720,543,526,193,96.9,35.5,
"De 20 a 24 años (003)",3201,3107,2952,442,95,14.2,
"De 25 a 29 años (004)",2871,6049,5633,420,93.1,6.9,
"De 30 a 34 años (005)",2522,8075,7380,309,91.4,3.8,
"De 35 a 39 años (006)",2475,10124,9094,255,89.8,2.5,
"De 40 a 44 años (007)",2089,10369,8973,109,86.5,1.1,
"De 45 a 49 años (008)",1754,9531,8078,38,84.8,0.4,
"De 50 y más años (009)",6535,36630,27325,,74.6,,
"Sin nivel (010)",7977,41125,31582,442,76.8,1.1,
"De 12 a 14 años (011)",17,1,1,,100,,
"De 15 a 19 años (012)",101,51,47,11,92.2,21.6,
"De 20 a 24 años (013)",301,468,436,59,93.2,12.6,
"De 25 a 29 años (014)",516,1458,1333,93,91.4,6.4,
"De 30 a 34 años (015)",591,2344,2111,101,90.1,4.3,
"De 35 a 39 años (016)",687,3423,3032,97,88.6,2.8,
"De 40 a 44 años (017)",683,3933,3294,58,83.8,1.5,
"De 45 a 49 años (018)",689,4253,3459,23,81.3,0.5,
"De 50 y más años (019)",4392,25194,17869,,70.9,,
"Educacion Inicial (020)",61,155,134,8,86.5,5.2,
"De 12 a 14 años (021)",7,,,,,,
"De 15 a 19 años (022)",5,2,2,2,100,100,
"De 20 a 24 años (023)",11,11,11,1,100,9.1,
"De 25 a 29 años (024)",12,30,28,1,93.3,3.3,
"De 30 a 34 años (025)",17,72,59,3,81.9,4.2,
"De 35 a 39 años (026)",9,40,34,1,85,2.5,
"Primaria (030)",11636,33554,29115,922,86.8,2.7,
"De 12 a 14 años (031)",2042,7,7,1,100,14.3,
"De 15 a 19 años (032)",1240,274,265,107,96.7,39.1,
"De 20 a 24 años (033)",1362,1787,1685,266,94.3,14.9,
"De 25 a 29 años (034)",1297,3294,3038,224,92.2,6.8,
"De 30 a 34 años (035)",1173,4215,3802,149,90.2,3.5,
"De 35 a 39 años (036)",1153,5057,4502,121,89,2.4,
"De 40 a 44 años (037)",948,4997,4323,41,86.5,0.8,
"De 45 a 49 años (038)",722,4103,3516,13,85.7,0.3,
