"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",16360,124,6626,5984,3009,617
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",13,,2,8,3,
"Profes., científicos e intelectuales (002)",428,,101,214,110,3
"Técnicos de nivel medio y trab. asimilados (003)",179,,71,68,38,2
"Jefes y empleados de oficina (004)",116,,62,35,18,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1785,17,722,692,313,41
"Agricult. trabaj. calif.agrop. y pesqueros (006)",2011,10,404,654,653,290
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",3189,9,1403,1263,482,32
"Obreros construc., conf., papel, fab., instr. (008)",368,,103,163,93,9
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",7734,86,3527,2683,1226,212
"Otra (010)",24,,4,17,3,
"Ocupación no especificada (011)",513,2,227,187,70,27
"Hombres (012)",12036,62,4831,4495,2205,443
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",12,,2,7,3,
"Profes., científicos e intelectuales (014)",311,,64,149,95,3
"Técnicos de nivel medio y trab. asimilados (015)",126,,41,51,32,2
"Jefes y empleados de oficina (016)",86,,41,28,17,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",568,5,181,226,132,24
"Agricult. trabaj. calif.agrop. y pesqueros (018)",1542,3,301,510,507,221
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",2655,6,1188,1058,382,21
"Obreros construc., conf., papel, fab., instr. (020)",358,,98,159,92,9
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",6054,47,2780,2181,899,147
"Otra (022)",23,,3,17,3,
"Ocupación no especificada (023)",301,1,132,109,43,16
"Mujeres (024)",4324,62,1795,1489,804,174
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",1,,,1,,
"Profes., científicos e intelectuales (026)",117,,37,65,15,
"Técnicos de nivel medio y trab. asimilados (027)",53,,30,17,6,
"Jefes y empleados de oficina (028)",30,,21,7,1,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1217,12,541,466,181,17
"Agricult. trabaj. calif.agrop. y pesqueros (030)",469,7,103,144,146,69
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",534,3,215,205,100,11
"Obreros construc., conf., papel, fab., instr. (032)",10,,5,4,1,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",1680,39,747,502,327,65
