"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CALCA (000)",22180,505,7039,7616,5423,1597
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",38,,3,16,17,2
"Profes., científicos e intelectuales (002)",1107,,267,568,256,16
"Técnicos de nivel medio y trab.asimilados (003)",416,,165,160,76,15
"Jefes y empleados de oficina (004)",250,,98,93,57,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2434,37,800,874,580,143
"Agricult.trabaj. calif. agrop. y pesqueros (006)",8053,28,1694,2856,2506,969
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",983,15,436,319,174,39
"Obreros construc., conf., papel, fab., instr. (008)",1771,22,687,695,330,37
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",5930,384,2410,1648,1189,299
"Otra (010)",74,,10,47,17,
"Ocupación no especificada (011)",634,4,224,193,147,66
"Desocupado (012)",490,15,245,147,74,9
"Hombres (013)",15374,301,4791,5325,3795,1162
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",31,,1,12,16,2
"Profes., científicos e intelectuales (015)",533,,110,265,146,12
"Técnicos de nivel medio y trab.asimilados (016)",251,,92,97,48,14
"Jefes y empleados de oficina (017)",153,,44,63,45,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",772,17,298,257,162,38
"Agricult.trabaj. calif. agrop. y pesqueros (019)",7197,25,1494,2597,2229,852
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",649,10,291,214,107,27
"Obreros construc., conf., papel, fab., instr. (021)",1541,12,581,613,300,35
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",3521,227,1594,951,604,145
"Otra (023)",73,,10,47,16,
"Ocupación no especificada (024)",320,3,127,97,65,28
"Desocupado (025)",333,7,149,112,57,8
"Mujeres (026)",6806,204,2248,2291,1628,435
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",7,,2,4,1,
"Profes., científicos e intelectuales (028)",574,,157,303,110,4
"Técnicos de nivel medio y trab.asimilados (029)",165,,73,63,28,1
"Jefes y empleados de oficina (030)",97,,54,30,12,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1662,20,502,617,418,105
"Agricult.trabaj. calif. agrop. y pesqueros (032)",856,3,200,259,277,117
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",334,5,145,105,67,12
