"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9588,8502,443,158,485
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",36,,5,5,26
"Profes., científicos e intelectuales (002)",553,129,103,78,243
"Técnicos de nivel medio y trab. asimilados (003)",162,62,19,9,72
"Jefes y empleados de oficina (004)",106,20,9,17,60
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",555,528,17,6,4
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3927,3849,78,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",296,279,13,2,2
"Obreros construc.,conf.,papel, fab., instr. (008)",342,295,25,17,5
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3424,3195,170,22,37
"Otra (010)",34,,,,34
"Ocupación no especificada (011)",153,145,4,2,2
"Hombres (012)",7827,7096,323,116,292
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",29,,3,5,21
"Profes., científicos e intelectuales (014)",316,74,61,51,130
"Técnicos de nivel medio y trab. asimilados (015)",97,44,13,8,32
"Jefes y empleados de oficina (016)",58,8,5,12,33
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",227,210,9,4,4
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3703,3631,72,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",263,246,13,2,2
"Obreros construc.,conf.,papel, fab., instr. (020)",339,292,25,17,5
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2714,2548,121,15,30
"Otra (022)",34,,,,34
"Ocupación no especificada (023)",47,43,1,2,1
"Mujeres (024)",1761,1406,120,42,193
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,,2,,5
"Profes., científicos e intelectuales (026)",237,55,42,27,113
"Técnicos de nivel medio y trab. asimilados (027)",65,18,6,1,40
"Jefes y empleados de oficina (028)",48,12,4,5,27
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",328,318,8,2,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",224,218,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",33,33,,,
"Obreros construc.,conf.,papel, fab., instr. (032)",3,3,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",710,647,49,7,7
