"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AYABACA (000)",798,752,46
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",36,34,2
"Casa pensión (003)",12,5,7
"Hospital, clinica (004)",13,7,6
"Cárcel, centro de readaptación social (005)",11,11,
"Otro (008)",305,274,31
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",421,421,
