"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARAÑON (000)",6142,5938,31,1022,978,885,1547,978,409,88,204,23175
"De 12 a 14 años (001)",11,5,,3,2,,,,,,6,7
"De 15 a 19 años (002)",274,253,3,219,29,2,,,,,21,283
"De 20 a 24 años (003)",802,732,7,379,267,62,12,5,,,70,1178
"De 25 a 29 años (004)",782,735,6,157,235,203,120,12,2,,47,1836
"De 30 a 34 años (005)",772,754,5,89,154,161,276,67,2,,18,2532
"De 35 a 39 años (006)",770,762,2,33,89,149,293,154,40,2,8,3303
"De 40 a 44 años (007)",565,562,,21,35,68,184,175,64,15,3,2939
"De 45 a 49 años (008)",515,512,,21,35,49,167,143,79,18,3,2764
"De 50 y más años (009)",1651,1623,8,100,132,191,495,422,222,53,28,8333
"Sin nivel (010)",2285,2243,12,183,246,289,697,520,242,54,42,10617
"De 15 a 19 años (012)",19,18,,15,2,1,,,,,1,22
"De 20 a 24 años (013)",84,76,1,29,36,7,3,,,,8,134
"De 25 a 29 años (014)",139,135,1,21,35,44,28,5,1,,4,383
"De 30 a 34 años (015)",183,180,1,18,25,33,76,26,1,,3,680
"De 35 a 39 años (016)",214,212,2,7,13,32,80,57,19,2,2,1032
"De 40 a 44 años (017)",217,216,,8,13,13,69,72,33,8,1,1203
"De 45 a 49 años (018)",234,232,,9,17,18,67,68,40,13,2,1310
"De 50 y más años (019)",1195,1174,7,76,105,141,374,292,148,31,21,5853
"Educacion Inicial (020)",13,12,,1,2,4,4,,1,,1,42
"De 12 a 14 años (021)",1,1,,,1,,,,,,,2
"De 20 a 24 años (023)",1,1,,1,,,,,,,,1
"De 25 a 29 años (024)",4,3,,,,2,1,,,,1,10
