"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia MOYOBAMBA (000)",42629,7037,6207,20654,1390,5016,1321,1004
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",79,75,,,4,,,
"Profes., científicos e intelectuales (002)",2939,2626,,271,36,6,,
"Técnicos de nivel medio y trab. asimilados (003)",1100,722,,309,48,18,3,
"Jefes y empleados de oficina (004)",1340,1320,,9,,11,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4273,1028,50,2502,159,534,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",14285,7,11,13329,937,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1690,,459,1099,83,49,,
"Obreros construc.,conf.,papel, fab., instr. (008)",2905,269,739,1785,84,28,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",11816,614,4792,865,18,4209,1318,
"Otra (010)",177,177,,,,,,
"Ocupaciñn no especificada (011)",1021,199,156,485,21,160,,
"Desocupado (012)",1004,,,,,,,1004
"Hombres (013)",31386,3864,5377,16947,1196,3209,59,734
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",54,52,,,2,,,
"Profes., científicos e intelectuales (015)",1609,1393,,184,28,4,,
"Técnicos de nivel medio y trab. asimilados (016)",690,443,,203,30,13,1,
"Jefes y empleados de oficina (017)",603,599,,3,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1757,521,20,1041,74,101,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",13365,4,8,12461,891,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",1400,,420,870,75,35,,
"Obreros construc.,conf.,papel, fab., instr. (021)",2845,265,723,1746,83,28,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",7811,319,4115,322,5,2992,58,
"Otra (023)",167,167,,,,,,
"Ocupaciñn no especificada (024)",351,101,91,117,8,34,,
"Desocupado (025)",734,,,,,,,734
"Mujeres (026)",11243,3173,830,3707,194,1807,1262,270
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",25,23,,,2,,,
"Profes., científicos e intelectuales (028)",1330,1233,,87,8,2,,
"Técnicos de nivel medio y trab. asimilados (029)",410,279,,106,18,5,2,
"Jefes y empleados de oficina (030)",737,721,,6,,10,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",2516,507,30,1461,85,433,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",920,3,3,868,46,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",290,,39,229,8,14,,
"Obreros construc.,conf.,papel, fab., instr. (034)",60,4,16,39,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",4005,295,677,543,13,1217,1260,
"Otra (036)",10,10,,,,,,
"Ocupaciñn no especificada (037)",670,98,65,368,13,126,,
"Desocupado (038)",270,,,,,,,270
,,,,,,,,
"URBANA (039)",26983,6825,3555,11620,871,2217,1185,710
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",77,73,,,4,,,
"Profes., científicos e intelectuales (041)",2843,2538,,264,36,5,,
"Técnicos de nivel medio y trab. asimilados (042)",1074,708,,300,47,16,3,
"Jefes y empleados de oficina (043)",1315,1295,,9,,11,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",3906,985,45,2250,148,478,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",5501,5,4,5053,438,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",1574,,429,1019,80,46,,
"Obreros construc.,conf.,papel, fab., instr. (047)",2726,260,694,1670,81,21,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",6444,596,2266,832,16,1552,1182,
"Otra (049)",177,177,,,,,,
"Ocupaciñn no especificada (050)",636,188,117,223,21,87,,
"Desocupado (051)",710,,,,,,,710
"Hombres (052)",17938,3732,3053,8706,700,1226,40,481
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",52,50,,,2,,,
"Profes., científicos e intelectuales (054)",1546,1334,,181,28,3,,
"Técnicos de nivel medio y trab. asimilados (055)",670,433,,195,30,11,1,
"Jefes y empleados de oficina (056)",583,579,,3,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",1601,506,20,915,69,91,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",5003,2,3,4592,405,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",1293,,390,797,73,33,,
"Obreros construc.,conf.,papel, fab., instr. (060)",2672,256,678,1637,80,21,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",3584,305,1886,307,5,1042,39,
"Otra (062)",167,167,,,,,,
"Ocupaciñn no especificada (063)",286,100,76,79,8,23,,
"Desocupado (064)",481,,,,,,,481
"Mujeres (065)",9045,3093,502,2914,171,991,1145,229
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",25,23,,,2,,,
"Profes., científicos e intelectuales (067)",1297,1204,,83,8,2,,
"Técnicos de nivel medio y trab. asimilados (068)",404,275,,105,17,5,2,
"Jefes y empleados de oficina (069)",732,716,,6,,10,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",2305,479,25,1335,79,387,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",498,3,1,461,33,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",281,,39,222,7,13,,
"Obreros construc.,conf.,papel, fab., instr. (073)",54,4,16,33,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",2860,291,380,525,11,510,1143,
"Otra (075)",10,10,,,,,,
"Ocupaciñn no especificada (076)",350,88,41,144,13,64,,
"Desocupado (077)",229,,,,,,,229
,,,,,,,,
"RURAL (078)",15646,212,2652,9034,519,2799,136,294
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",2,2,,,,,,
"Profes., científicos e intelectuales (080)",96,88,,7,,1,,
"Técnicos de nivel medio y trab. asimilados (081)",26,14,,9,1,2,,
"Jefes y empleados de oficina (082)",25,25,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",367,43,5,252,11,56,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",8784,2,7,8276,499,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",116,,30,80,3,3,,
"Obreros construc.,conf.,papel, fab., instr. (086)",179,9,45,115,3,7,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",5372,18,2526,33,2,2657,136,
"Ocupaciñn no especificada (089)",385,11,39,262,,73,,
"Desocupado (090)",294,,,,,,,294
"Hombres (091)",13448,132,2324,8241,496,1983,19,253
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",2,2,,,,,,
"Profes., científicos e intelectuales (093)",63,59,,3,,1,,
"Técnicos de nivel medio y trab. asimilados (094)",20,10,,8,,2,,
