"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia RIOJA (000)",104454,74824,29630
"Casa independiente (001)",98656,69968,28688
"Departamento en edificio (002)",206,206,
"Vivienda en quinta (003)",2381,2381,
"Vivienda en casa de vecindad (004)",1300,1300,
"Choza o cabaña (005)",935,,935
"Vivienda improvisada (006)",784,784,
"Local no dest.para hab. humana (007)",170,163,7
"Otro tipo (008)",22,22,
