"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PAUCARTAMBO (000)",14944,14491,4031,1529,1512,1404,2443,1785,1082,705,453,48058
"De 12 a 14 años (001)",1927,1903,1893,9,1,,,,,,24,11
"De 15 a 19 años (002)",1935,1873,1498,309,51,11,4,,,,62,460
"De 20 a 24 años (003)",1636,1484,300,550,417,154,54,9,,,152,2134
"De 25 a 29 años (004)",1563,1465,66,246,424,349,340,34,6,,98,3846
"De 30 a 34 años (005)",1486,1455,36,119,228,305,533,197,35,2,31,5412
"De 35 a 39 años (006)",1349,1332,30,63,121,188,476,313,109,32,17,6261
"De 40 a 44 años (007)",1173,1156,28,53,75,107,289,326,194,84,17,6445
"De 45 a 49 años (008)",929,917,29,38,45,66,185,246,206,102,12,5610
"De 50 y más años (009)",2946,2906,151,142,150,224,562,660,532,485,40,17879
"Sin nivel (010)",5350,5231,354,353,414,529,1233,1109,739,500,119,27239
"De 12 a 14 años (011)",52,47,46,1,,,,,,,5,1
"De 15 a 19 años (012)",145,139,88,37,9,5,,,,,6,70
"De 20 a 24 años (013)",261,237,42,70,64,39,19,3,,,24,416
"De 25 a 29 años (014)",420,402,13,42,98,93,136,17,3,,18,1230
"De 30 a 34 años (015)",539,526,9,36,53,86,221,100,20,1,13,2196
"De 35 a 39 años (016)",559,550,13,21,31,54,203,149,61,18,9,2809
"De 40 a 44 años (017)",557,550,12,25,25,43,120,172,105,48,7,3249
"De 45 a 49 años (018)",554,549,15,21,18,40,99,159,135,62,5,3478
"De 50 y más años (019)",2263,2231,116,100,116,169,435,509,415,371,32,13790
"Educacion Inicial (020)",113,109,20,6,16,21,29,15,2,,4,341
"De 12 a 14 años (021)",5,5,5,,,,,,,,,
