"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LUCANAS (000)",64590,37913,26677
"Casa independiente (001)",58552,37400,21152
"Departamento en edificio (002)",34,34,
"Vivienda en quinta (003)",192,192,
"Vivienda en casa de vecindad (004)",228,228,
"Choza o cabaña (005)",5469,,5469
"Vivienda improvisada (006)",12,12,
"Local no dest.para hab. humana (007)",77,44,33
"Otro tipo (008)",26,3,23
