"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CONTUMAZA (000)",8135,31042,3450,13000,4685,18042
"Casa independiente (001)",7670,29128,3411,12861,4259,16267
"Vivienda en quinta (003)",26,95,26,95,,
"Vivienda en casa de vecindad (004)",9,31,9,31,,
"Choza o cabaña (005)",426,1775,,,426,1775
"Vivienda improvisada (006)",2,8,2,8,,
"Local no dest.para hab. humana (007)",1,1,1,1,,
"Otro tipo (008)",1,4,1,4,,
