"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUARAZ (000)",34943,144814,25356,106888,9587,37926
"Casa independiente (001)",32513,136128,23259,99421,9254,36707
"Departamento en edificio (002)",744,2705,744,2705,,
"Vivienda en quinta (003)",476,1829,476,1829,,
"Vivienda en casa de vecindad (004)",631,2373,631,2373,,
"Choza o cabaña (005)",331,1214,,,331,1214
"Vivienda improvisada (006)",212,481,212,481,,
"Local no dest.para hab. humana (007)",31,73,29,68,2,5
"Otro tipo (008)",5,11,5,11,,
