"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia COTABAMBAS (000)",993,16,362,377,197,41
"Conviviente (001)",395,1,168,179,41,6
"Separado(a) (002)",12,,3,5,3,1
"Casado(a) (003)",365,1,35,167,136,26
"Viudo(a) (004)",22,,1,5,10,6
"Divorciado(a) (005)",3,,,1,,2
"Soltero(a) (006)",196,14,155,20,7,
"Hombres (008)",849,8,304,327,172,38
"Conviviente (009)",344,1,144,157,36,6
"Separado(a) (010)",6,,1,3,2,
"Casado(a) (011)",318,1,27,144,120,26
"Viudo(a) (012)",20,,1,5,8,6
"Divorciado(a) (013)",1,,,1,,
"Soltero(a) (014)",160,6,131,17,6,
"Mujeres (016)",144,8,58,50,25,3
"Conviviente (017)",51,,24,22,5,
"Separado(a) (018)",6,,2,2,1,1
"Casado(a) (019)",47,,8,23,16,
"Viudo(a) (020)",2,,,,2,
"Divorciado(a) (021)",2,,,,,2
"Soltero(a) (022)",36,8,24,3,1,
,,,,,,
"AREA URBANA (024)",216,2,86,79,41,8
"Conviviente (025)",92,,35,41,15,1
"Separado(a) (026)",5,,2,2,1,
"Casado(a) (027)",52,,3,26,20,3
"Viudo(a) (028)",7,,,2,2,3
"Divorciado(a) (029)",1,,,,,1
"Soltero(a) (030)",59,2,46,8,3,
"Hombres (032)",160,1,65,56,31,7
"Conviviente (033)",71,,26,32,12,1
"Separado(a) (034)",2,,1,,1,
"Casado(a) (035)",35,,2,16,14,3
"Viudo(a) (036)",6,,,2,1,3
"Soltero(a) (038)",46,1,36,6,3,
"Mujeres (040)",56,1,21,23,10,1
"Conviviente (041)",21,,9,9,3,
"Separado(a) (042)",3,,1,2,,
"Casado(a) (043)",17,,1,10,6,
"Viudo(a) (044)",1,,,,1,
"Divorciado(a) (045)",1,,,,,1
"Soltero(a) (046)",13,1,10,2,,
,,,,,,
"AREA RURAL (048)",777,14,276,298,156,33
"Conviviente (049)",303,1,133,138,26,5
"Separado(a) (050)",7,,1,3,2,1
"Casado(a) (051)",313,1,32,141,116,23
"Viudo(a) (052)",15,,1,3,8,3
"Divorciado(a) (053)",2,,,1,,1
"Soltero(a) (054)",137,12,109,12,4,
"Hombres (056)",689,7,239,271,141,31
"Conviviente (057)",273,1,118,125,24,5
"Separado(a) (058)",4,,,3,1,
"Casado(a) (059)",283,1,25,128,106,23
"Viudo(a) (060)",14,,1,3,7,3
"Divorciado(a) (061)",1,,,1,,
"Soltero(a) (062)",114,5,95,11,3,
"Mujeres (064)",88,7,37,27,15,2
"Conviviente (065)",30,,15,13,2,
"Separado(a) (066)",3,,1,,1,1
"Casado(a) (067)",30,,7,13,10,
"Viudo(a) (068)",1,,,,1,
"Divorciado(a) (069)",1,,,,,1
"Soltero(a) (070)",23,7,14,1,1,
