"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia GRAN CHIMU (000)",7463,7131,36,1401,1372,1103,1618,952,493,156,332,26523
"De 12 a 14 años (001)",14,8,,7,1,,,,,,6,9
"De 15 a 19 años (002)",270,249,1,215,31,1,1,,,,21,284
"De 20 a 24 años (003)",774,681,4,401,189,70,16,1,,,93,1062
"De 25 a 29 años (004)",853,792,5,261,281,161,79,5,,,61,1668
"De 30 a 34 años (005)",880,835,3,155,260,183,195,35,4,,45,2327
"De 35 a 39 años (006)",835,812,3,99,188,183,233,84,21,1,23,2778
"De 40 a 44 años (007)",761,738,4,75,128,151,224,101,44,11,23,2896
"De 45 a 49 años (008)",688,672,1,46,103,105,204,132,62,19,16,3038
"De 50 y más años (009)",2388,2344,15,142,191,249,666,594,362,125,44,12461
"Sin nivel (010)",1631,1597,9,136,154,176,452,380,215,75,34,8028
"De 12 a 14 años (011)",2,2,,2,,,,,,,,2
"De 15 a 19 años (012)",18,18,,15,2,,1,,,,,23
"De 20 a 24 años (013)",52,45,,19,15,7,4,,,,7,86
"De 25 a 29 años (014)",72,70,1,15,23,13,16,2,,,2,178
"De 30 a 34 años (015)",121,116,,12,15,27,48,13,1,,5,423
"De 35 a 39 años (016)",133,132,1,11,24,18,41,26,10,1,1,553
"De 40 a 44 años (017)",117,112,,10,9,14,34,33,10,2,5,533
"De 45 a 49 años (018)",130,128,,6,5,15,35,40,19,8,2,716
"De 50 y más años (019)",986,974,7,46,61,82,273,266,175,64,12,5514
"Educacion Inicial (020)",33,30,,12,8,6,3,1,,,3,67
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",5,4,,2,1,1,,,,,1,7
