"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia AMBO (000)",19829,60190,53326,,948,88.6,1.6
"De 12 a 14 años (001)",2359,7,6,,1,85.7,14.3
"De 15 a 19 años (002)",2783,408,403,116,98.8,28.4,
"De 20 a 24 años (003)",2053,1803,1765,229,97.9,12.7,
"De 25 a 29 años (004)",1857,3290,3195,195,97.1,5.9,
"De 30 a 34 años (005)",1761,4866,4643,186,95.4,3.8,
"De 35 a 39 años (006)",1682,6241,5893,145,94.4,2.3,
"De 40 a 44 años (007)",1437,6906,6322,59,91.5,0.9,
"De 45 a 49 años (008)",1251,6724,6083,17,90.5,0.3,
"De 50 y más años (009)",4646,29945,25016,,83.5,,
"PEA (010)",3118,8362,7558,127,90.4,1.5,
"De 12 a 14 años (011)",79,1,1,,100,,
"De 15 a 19 años (012)",327,49,48,14,98,28.6,
"De 20 a 24 años (013)",447,266,256,35,96.2,13.2,
"De 25 a 29 años (014)",371,453,443,23,97.8,5.1,
"De 30 a 34 años (015)",381,758,729,23,96.2,3,
"De 35 a 39 años (016)",353,1032,989,23,95.8,2.2,
"De 40 a 44 años (017)",305,1234,1144,6,92.7,0.5,
"De 45 a 49 años (018)",253,1049,973,3,92.8,0.3,
"De 50 y más años (019)",602,3520,2975,,84.5,,
"Ocupada (020)",2904,8206,7413,124,90.3,1.5,
"De 12 a 14 años (021)",62,1,1,,100,,
"De 15 a 19 años (022)",274,44,43,14,97.7,31.8,
"De 20 a 24 años (023)",389,249,239,33,96,13.3,
"De 25 a 29 años (024)",339,441,431,23,97.7,5.2,
"De 30 a 34 años (025)",360,743,714,23,96.1,3.1,
"De 35 a 39 años (026)",339,994,953,22,95.9,2.2,
"De 40 a 44 años (027)",298,1216,1127,6,92.7,0.5,
"De 45 a 49 años (028)",246,1020,946,3,92.7,0.3,
"De 50 y más años (029)",597,3498,2959,,84.6,,
"Desocupada (030)",214,156,145,3,92.9,1.9,
"De 12 a 14 años (031)",17,,,,,,
"De 15 a 19 años (032)",53,5,5,,100,,
"De 20 a 24 años (033)",58,17,17,2,100,11.8,
"De 25 a 29 años (034)",32,12,12,,100,,
"De 30 a 34 años (035)",21,15,15,,100,,
"De 35 a 39 años (036)",14,38,36,1,94.7,2.6,
"De 40 a 44 años (037)",7,18,17,,94.4,,
