"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Sin nivel (031)",23,1,5,6,8,3
"Educación inicial (032)",1,,1,,,
"Primaria (033)",185,7,52,67,34,25
"Secundaria (034)",354,7,226,83,33,5
"Superior no univ. incompleta (035)",46,,33,10,3,
"Superior no univ. completa (036)",94,,63,27,3,1
"Superior univ. incompleta (037)",24,,8,6,9,1
"Superior univ. completa (038)",65,,37,24,4,
"No PEA (040)",32793,12727,8724,4049,3752,3541
"Sin nivel (041)",3096,178,178,439,940,1361
"Educación inicial (042)",766,739,15,12,,
"Primaria (043)",16122,9416,1465,1763,1779,1699
"Secundaria (044)",9958,2394,5285,1272,711,296
"Superior no univ. incompleta (045)",1079,,855,146,43,35
"Superior no univ. completa (046)",636,,267,215,104,50
"Superior univ. incompleta (047)",662,,542,60,46,14
"Superior univ. completa (048)",474,,117,142,129,86
,,,,,,
"URBANA (060)",27297,6009,7947,5768,4766,2807
"Sin nivel (061)",1353,59,74,184,396,640
"Educación inicial (062)",396,381,6,9,,
"Primaria (063)",9157,4144,638,1164,1647,1564
"Secundaria (064)",10166,1425,4513,2302,1560,366
"Superior no univ. incompleta (065)",1614,,997,399,178,40
"Superior no univ. completa (066)",1843,,664,793,328,58
"Superior univ. incompleta (067)",1116,,684,235,172,25
"Superior univ. completa (068)",1652,,371,682,485,114
"PEA (070)",11574,233,3451,3970,3036,884
"Sin nivel (071)",404,2,22,88,160,132
"Educación inicial (072)",9,2,2,5,,
"Primaria (073)",2584,126,307,667,940,544
"Secundaria (074)",4577,103,1737,1555,1053,129
"Superior no univ. incompleta (075)",832,,397,286,139,10
"Superior no univ. completa (076)",1348,,475,617,242,14
"Superior univ. incompleta (077)",563,,233,186,131,13
"Superior univ. completa (078)",1257,,278,566,371,42
"Ocupada (080)",11123,227,3210,3835,2983,868
"Sin nivel (081)",395,2,20,86,157,130
"Educación inicial (082)",8,2,1,5,,
"Primaria (083)",2509,125,291,632,926,535
"Secundaria (084)",4381,98,1621,1506,1031,125
"Superior no univ. incompleta (085)",802,,375,280,137,10
"Superior no univ. completa (086)",1280,,429,597,240,14
"Superior univ. incompleta (087)",545,,226,182,125,12
"Superior univ. completa (088)",1203,,247,547,367,42
"Desocupada (090)",451,6,241,135,53,16
"Sin nivel (091)",9,,2,2,3,2
"Educación inicial (092)",1,,1,,,
"Primaria (093)",75,1,16,35,14,9
"Secundaria (094)",196,5,116,49,22,4
"Superior no univ. incompleta (095)",30,,22,6,2,
"Superior no univ. completa (096)",68,,46,20,2,
"Superior univ. incompleta (097)",18,,7,4,6,1
"Superior univ. completa (098)",54,,31,19,4,
"No PEA (100)",15723,5776,4496,1798,1730,1923
"Sin nivel (101)",949,57,52,96,236,508
"Educación inicial (102)",387,379,4,4,,
"Primaria (103)",6573,4018,331,497,707,1020
"Secundaria (104)",5589,1322,2776,747,507,237
"Superior no univ. incompleta (105)",782,,600,113,39,30
"Superior no univ. completa (106)",495,,189,176,86,44
"Superior univ. incompleta (107)",553,,451,49,41,12
"Superior univ. completa (108)",395,,93,116,114,72
,,,,,,
"RURAL (120)",25249,7062,6900,4965,3990,2332
"Sin nivel (121)",2781,130,168,478,968,1037
"Educación inicial (122)",384,360,14,10,,
"Primaria (123)",12872,5470,1839,2286,2134,1143
"Secundaria (124)",7556,1102,4027,1646,670,111
"Superior no univ. incompleta (125)",549,,383,126,34,6
"Superior no univ. completa (126)",526,,239,204,67,16
"Superior univ. incompleta (127)",235,,133,62,37,3
"Superior univ. completa (128)",346,,97,153,80,16
"PEA (130)",8179,111,2672,2714,1968,714
"Sin nivel (131)",634,9,42,135,264,184
"Educación inicial (132)",5,,3,2,,
"Primaria (133)",3323,72,705,1020,1062,464
"Secundaria (134)",3187,30,1518,1121,466,52
"Superior no univ. incompleta (135)",252,,128,93,30,1
"Superior no univ. completa (136)",385,,161,165,49,10
"Superior univ. incompleta (137)",126,,42,51,32,1
"Superior univ. completa (138)",267,,73,127,65,2
"Ocupada (140)",7838,102,2488,2626,1927,695
"Sin nivel (141)",620,8,39,131,259,183
"Educación inicial (142)",5,,3,2,,
"Primaria (143)",3213,66,669,988,1042,448
"Secundaria (144)",3029,28,1408,1087,455,51
"Superior no univ. incompleta (145)",236,,117,89,29,1
"Superior no univ. completa (146)",359,,144,158,48,9
"Superior univ. incompleta (147)",120,,41,49,29,1
"Superior univ. completa (148)",256,,67,122,65,2
"Desocupada (150)",341,9,184,88,41,19
"Sin nivel (151)",14,1,3,4,5,1
"Primaria (153)",110,6,36,32,20,16
"Secundaria (154)",158,2,110,34,11,1
"Superior no univ. incompleta (155)",16,,11,4,1,
"Superior no univ. completa (156)",26,,17,7,1,1
"Superior univ. incompleta (157)",6,,1,2,3,
"Superior univ. completa (158)",11,,6,5,,
"No PEA (160)",17070,6951,4228,2251,2022,1618
"Sin nivel (161)",2147,121,126,343,704,853
"Educación inicial (162)",379,360,11,8,,
"Primaria (163)",9549,5398,1134,1266,1072,679
"Secundaria (164)",4369,1072,2509,525,204,59
"Superior no univ. incompleta (165)",297,,255,33,4,5
"Superior no univ. completa (166)",141,,78,39,18,6
"Superior univ. incompleta (167)",109,,91,11,5,2
"Superior univ. completa (168)",79,,24,26,15,14
