"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PALLASCA (000)",10270,10053,2891,1136,1048,916,1567,1161,762,572,217,33196
"De 12 a 14 años (001)",1175,1169,1164,5,,,,,,,6,5
"De 15 a 19 años (002)",1382,1372,1151,190,25,5,1,,,,10,259
"De 20 a 24 años (003)",957,897,228,365,229,52,21,2,,,60,1078
"De 25 a 29 años (004)",850,812,97,189,236,157,120,11,2,,38,1736
"De 30 a 34 años (005)",842,813,66,117,165,161,217,71,12,4,29,2470
"De 35 a 39 años (006)",820,802,29,63,103,152,269,130,44,12,18,3229
"De 40 a 44 años (007)",737,731,19,35,68,111,196,194,82,26,6,3598
"De 45 a 49 años (008)",612,606,22,25,37,77,158,136,95,56,6,3347
"De 50 y más años (009)",2895,2851,115,147,185,201,585,617,527,474,44,17474
"Sin nivel (010)",2530,2494,133,145,183,202,520,532,421,358,36,14472
"De 12 a 14 años (011)",13,12,11,1,,,,,,,1,1
"De 15 a 19 años (012)",48,48,35,10,2,,1,,,,,18
"De 20 a 24 años (013)",55,51,7,20,15,6,1,2,,,4,84
"De 25 a 29 años (014)",79,77,9,8,24,18,15,3,,,2,194
"De 30 a 34 años (015)",140,135,5,11,18,27,49,19,5,1,5,513
"De 35 a 39 años (016)",173,172,2,5,19,23,54,46,17,6,1,857
"De 40 a 44 años (017)",167,166,3,5,7,18,40,55,30,8,1,949
"De 45 a 49 años (018)",183,181,7,6,7,13,43,39,40,26,2,1138
"De 50 y más años (019)",1672,1652,54,79,91,97,317,368,329,317,20,10718
"Educacion Inicial (020)",13,11,4,2,1,,3,1,,,2,26
"De 12 a 14 años (021)",1,1,1,,,,,,,,,
"De 15 a 19 años (022)",4,4,2,2,,,,,,,,2
