"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"De 25 a 29 años (164)",169,,,,,9,117,43
"De 30 a 34 años (165)",184,,,,,17,141,26
"De 35 a 39 años (166)",185,,,,1,49,111,24
"De 40 a 44 años (167)",161,,,,5,61,73,22
"De 45 a 49 años (168)",163,,,2,15,85,44,17
"De 50 y más años (169)",871,11,60,199,250,151,1,199
"Conviviente (170)",382,,,13,11,58,214,86
"De 15 a 19 años (172)",29,,,,,,14,15
"De 20 a 24 años (173)",91,,,,,,58,33
"De 25 a 29 años (174)",69,,,,,4,55,10
"De 30 a 34 años (175)",51,,,,,4,41,6
"De 35 a 39 años (176)",36,,,,,12,23,1
"De 40 a 44 años (177)",22,,,,1,7,12,2
"De 45 a 49 años (178)",27,,,,1,12,11,3
"De 50 y más años (179)",57,,,13,9,19,,16
"Separado(a) (180)",70,,,4,10,10,25,21
"De 15 a 19 años (182)",3,,,,,,2,1
"De 20 a 24 años (183)",8,,,,,,5,3
"De 25 a 29 años (184)",12,,,,,,7,5
"De 30 a 34 años (185)",11,,,,,2,5,4
"De 35 a 39 años (186)",5,,,,,,3,2
"De 40 a 44 años (187)",4,,,,,3,1,
"De 45 a 49 años (188)",4,,,,1,1,2,
"De 50 y más años (189)",23,,,4,9,4,,6
"Casado(a) (190)",986,2,11,82,163,253,322,153
"De 15 a 19 años (192)",5,,,,,,3,2
"De 20 a 24 años (193)",30,,,,,,24,6
"De 25 a 29 años (194)",62,,,,,3,48,11
"De 30 a 34 años (195)",105,,,,,10,88,7
"De 35 a 39 años (196)",125,,,,1,34,74,16
"De 40 a 44 años (197)",110,,,,4,39,54,13
"De 45 a 49 años (198)",111,,,2,12,60,30,7
"De 50 y más años (199)",438,2,11,80,146,107,1,91
"Viudo(a) (200)",365,7,44,91,80,46,15,82
"De 20 a 24 años (203)",2,,,,,,,2
"De 25 a 29 años (204)",4,,,,,1,2,1
"De 30 a 34 años (205)",5,,,,,1,3,1
"De 35 a 39 años (206)",9,,,,,2,5,2
"De 40 a 44 años (207)",16,,,,,10,4,2
"De 45 a 49 años (208)",16,,,,1,11,1,3
"De 50 y más años (209)",313,7,44,91,79,21,,71
"Divorciado(a) (210)",8,,2,2,1,1,,2
"De 40 a 44 años (217)",1,,,,,1,,
"De 50 y más años (219)",7,,2,2,1,,,2
"Soltero(a) (220)",128,2,3,9,6,4,25,79
"De 15 a 19 años (222)",4,,,,,,3,1
"De 20 a 24 años (223)",34,,,,,,5,29
"De 25 a 29 años (224)",22,,,,,1,5,16
"De 30 a 34 años (225)",12,,,,,,4,8
"De 35 a 39 años (226)",10,,,,,1,6,3
"De 40 a 44 años (227)",8,,,,,1,2,5
"De 45 a 49 años (228)",5,,,,,1,,4
"De 50 y más años (229)",33,2,3,9,6,,,13
