"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CONCEPCION (000)",56470,2638,6893,7464,5968,8879,7504,11985,5139
"Sin nivel (001)",7272,2638,639,50,65,177,434,1592,1677
"Educación inicial (002)",1566,,1498,29,4,16,19,,
"Primaria (003)",22029,,4756,4858,711,1766,2279,4952,2707
"Secundaria (004)",17722,,,2527,4523,4017,2808,3370,477
"Superior no univ. incompleto (005)",2163,,,,427,953,414,323,46
"Superior no univ. completo (006)",2369,,,,,903,767,625,74
"Superior univ. incompleto (007)",1351,,,,238,579,216,290,28
"Superior univ. completo (008)",1998,,,,,468,567,833,130
"Hombres (010)",27403,1315,3449,3827,3050,4370,3539,5487,2366
"Sin nivel (011)",2455,1315,324,26,17,60,100,272,341
"Educación inicial (012)",768,,751,9,1,4,3,,
"Primaria (013)",10125,,2374,2479,316,623,807,2033,1493
"Secundaria (014)",9937,,,1313,2432,2249,1593,2001,349
"Superior no univ. incompleto (015)",1104,,,,190,490,204,193,27
"Superior no univ. completo (016)",1195,,,,,424,376,344,51
"Superior univ. incompleto (017)",751,,,,94,321,147,176,13
"Superior univ. completo (018)",1068,,,,,199,309,468,92
"Mujeres (020)",29067,1323,3444,3637,2918,4509,3965,6498,2773
"Sin nivel (021)",4817,1323,315,24,48,117,334,1320,1336
"Educación inicial (022)",798,,747,20,3,12,16,,
"Primaria (023)",11904,,2382,2379,395,1143,1472,2919,1214
"Secundaria (024)",7785,,,1214,2091,1768,1215,1369,128
"Superior no univ. incompleto (025)",1059,,,,237,463,210,130,19
"Superior no univ. completo (026)",1174,,,,,479,391,281,23
"Superior univ. incompleto (027)",600,,,,144,258,69,114,15
"Superior univ. completo (028)",930,,,,,269,258,365,38
,,,,,,,,,
"URBANA (030)",28982,1160,3020,3514,3290,4657,3971,6563,2807
"Sin nivel (031)",2666,1160,201,11,24,50,132,448,640
"Educación inicial (032)",768,,728,25,2,4,9,,
"Primaria (033)",9157,,2091,2053,223,415,708,2103,1564
"Secundaria (034)",10166,,,1425,2527,1986,1574,2288,366
"Superior no univ. incompleto (035)",1614,,,,312,685,314,263,40
