"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SANDIA (000)",58297,2749,7036,7596,6245,10387,8741,12160,3383
"Sabe leer y escribir (001)",48955,,5475,7566,6206,10261,8339,9627,1481
"No sabe leer y escribir (002)",9342,2749,1561,30,39,126,402,2533,1902
"Hombres (004)",31289,1383,3567,3924,3338,5527,4726,6903,1921
"Sabe leer y escribir (005)",27716,,2764,3912,3319,5486,4645,6345,1245
"No sabe leer y escribir (006)",3573,1383,803,12,19,41,81,558,676
"Mujeres (008)",27008,1366,3469,3672,2907,4860,4015,5257,1462
"Sabe leer y escribir (009)",21239,,2711,3654,2887,4775,3694,3282,236
"No sabe leer y escribir (010)",5769,1366,758,18,20,85,321,1975,1226
,,,,,,,,,
"URBANA (012)",15548,679,1823,2274,1857,2582,2369,3139,825
"Sabe leer y escribir (013)",13460,,1455,2268,1846,2560,2303,2632,396
"No sabe leer y escribir (014)",2088,679,368,6,11,22,66,507,429
"Hombres (016)",7748,346,855,1157,950,1236,1144,1634,426
"Sabe leer y escribir (017)",6971,,685,1154,944,1225,1130,1534,299
"No sabe leer y escribir (018)",777,346,170,3,6,11,14,100,127
"Mujeres (020)",7800,333,968,1117,907,1346,1225,1505,399
"Sabe leer y escribir (021)",6489,,770,1114,902,1335,1173,1098,97
"No sabe leer y escribir (022)",1311,333,198,3,5,11,52,407,302
,,,,,,,,,
"RURAL (024)",42749,2070,5213,5322,4388,7805,6372,9021,2558
"Sabe leer y escribir (025)",35495,,4020,5298,4360,7701,6036,6995,1085
"No sabe leer y escribir (026)",7254,2070,1193,24,28,104,336,2026,1473
"Hombres (028)",23541,1037,2712,2767,2388,4291,3582,5269,1495
"Sabe leer y escribir (029)",20745,,2079,2758,2375,4261,3515,4811,946
"No sabe leer y escribir (030)",2796,1037,633,9,13,30,67,458,549
"Mujeres (032)",19208,1033,2501,2555,2000,3514,2790,3752,1063
"Sabe leer y escribir (033)",14750,,1941,2540,1985,3440,2521,2184,139
"No sabe leer y escribir (034)",4458,1033,560,15,15,74,269,1568,924
