"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia TACNA (000)",262731,260848,1241,642
"Hombres (001)",130212,129309,564,339
"Mujeres (002)",132519,131539,677,303
"Menores de 1 año (003)",4219,3630,469,120
"Hombres (004)",2120,1840,219,61
"Mujeres (005)",2099,1790,250,59
"De 1 a 5 años (006)",23071,21958,621,492
"Hombres (007)",11801,11234,302,265
"Mujeres (008)",11270,10724,319,227
"De 6 a 14 años (009)",43499,43461,19,19
"Hombres (010)",22230,22215,5,10
"Mujeres (011)",21269,21246,14,9
"De 15 a 29 años (012)",78702,78687,8,7
"Hombres (013)",38498,38494,2,2
"Mujeres (014)",40204,40193,6,5
"De 30 a 44 años (015)",61226,61221,4,1
"Hombres (016)",29401,29399,2,
"Mujeres (017)",31825,31822,2,1
"De 45 a 64 años (018)",39728,39711,14,3
"Hombres (019)",19967,19963,3,1
"Mujeres (020)",19761,19748,11,2
"De 65 a más años (021)",12286,12180,106,
"Hombres (022)",6195,6164,31,
"Mujeres (023)",6091,6016,75,
,,,,
"URBANA (024)",245930,244153,1167,610
"Hombres (025)",120937,120086,527,324
"Mujeres (026)",124993,124067,640,286
"Menores de 1 año (027)",3997,3435,446,116
"Hombres (028)",2004,1733,210,61
"Mujeres (029)",1993,1702,236,55
"De 1 a 5 años (030)",21631,20573,591,467
"Hombres (031)",11053,10515,286,252
"Mujeres (032)",10578,10058,305,215
"De 6 a 14 años (033)",41011,40975,19,17
"Hombres (034)",20930,20916,5,9
"Mujeres (035)",20081,20059,14,8
"De 15 a 29 años (036)",73975,73961,7,7
"Hombres (037)",35847,35844,1,2
"Mujeres (038)",38128,38117,6,5
"De 30 a 44 años (039)",57551,57546,4,1
"Hombres (040)",27362,27360,2,
"Mujeres (041)",30189,30186,2,1
"De 45 a 64 años (042)",36746,36730,14,2
"Hombres (043)",18269,18266,3,
"Mujeres (044)",18477,18464,11,2
"De 65 a más años (045)",11019,10933,86,
"Hombres (046)",5472,5452,20,
"Mujeres (047)",5547,5481,66,
,,,,
"RURAL (048)",16801,16695,74,32
"Hombres (049)",9275,9223,37,15
"Mujeres (050)",7526,7472,37,17
"Menores de 1 año (051)",222,195,23,4
"Hombres (052)",116,107,9,
"Mujeres (053)",106,88,14,4
"De 1 a 5 años (054)",1440,1385,30,25
"Hombres (055)",748,719,16,13
"Mujeres (056)",692,666,14,12
"De 6 a 14 años (057)",2488,2486,,2
"Hombres (058)",1300,1299,,1
"Mujeres (059)",1188,1187,,1
"De 15 a 29 años (060)",4727,4726,1,
"Hombres (061)",2651,2650,1,
"Mujeres (062)",2076,2076,,
"De 30 a 44 años (063)",3675,3675,,
"Hombres (064)",2039,2039,,
"Mujeres (065)",1636,1636,,
"De 45 a 64 años (066)",2982,2981,,1
"Hombres (067)",1698,1697,,1
"Mujeres (068)",1284,1284,,
"De 65 a más años (069)",1267,1247,20,
"Hombres (070)",723,712,11,
"Mujeres (071)",544,535,9,
