"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia OXAPAMPA (000)",26873,71996,66506,,1715,92.4,2.4
"De 12 a 14 años (001)",3159,21,19,,2,90.5,9.5
"De 15 a 19 años (002)",3989,1097,1076,292,98.1,26.6,
"De 20 a 24 años (003)",3370,4022,3917,442,97.4,11,
"De 25 a 29 años (004)",3061,6038,5858,369,97,6.1,
"De 30 a 34 años (005)",2726,7684,7419,294,96.6,3.8,
"De 35 a 39 años (006)",2606,9590,9145,224,95.4,2.3,
"De 40 a 44 años (007)",2058,8835,8365,81,94.7,0.9,
"De 45 a 49 años (008)",1660,8308,7729,11,93,0.1,
"De 50 y más años (009)",4244,26401,22978,,87,,
"Conviviente (010)",10315,31633,29838,1262,94.3,4,
"De 12 a 14 años (011)",51,9,9,2,100,22.2,
"De 15 a 19 años (012)",1019,812,798,214,98.3,26.4,
"De 20 a 24 años (013)",1969,3037,2953,336,97.2,11.1,
"De 25 a 29 años (014)",1936,4386,4244,284,96.8,6.5,
"De 30 a 34 años (015)",1601,5036,4858,220,96.5,4.4,
"De 35 a 39 años (016)",1382,5559,5275,147,94.9,2.6,
"De 40 a 44 años (017)",870,4004,3781,49,94.4,1.2,
"De 45 a 49 años (018)",598,3193,2984,10,93.5,0.3,
"De 50 y más años (019)",889,5597,4936,,88.2,,
"Separado(a) (020)",1188,3836,3561,62,92.8,1.6,
"De 12 a 14 años (021)",5,4,4,,100,,
"De 15 a 19 años (022)",71,65,65,19,100,29.2,
"De 20 a 24 años (023)",152,202,201,21,99.5,10.4,
"De 25 a 29 años (024)",136,238,232,7,97.5,2.9,
"De 30 a 34 años (025)",147,364,354,10,97.3,2.7,
"De 35 a 39 años (026)",162,516,490,5,95,1,
"De 40 a 44 años (027)",140,528,505,,95.6,,
"De 45 a 49 años (028)",113,467,439,,94,,
"De 50 y más años (029)",262,1452,1271,,87.5,,
"Casado(a) (030)",6017,27794,25543,278,91.9,1,
"De 12 a 14 años (031)",1,,,,,,
"De 15 a 19 años (032)",58,48,46,14,95.8,29.2,
"De 20 a 24 años (033)",268,457,443,43,96.9,9.4,
"De 25 a 29 años (034)",485,1127,1101,61,97.7,5.4,
"De 30 a 34 años (035)",690,2032,1958,61,96.4,3,
"De 35 a 39 años (036)",839,3155,3029,68,96,2.2,
