"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia LA CONVENCION (000)",44022,163558,13872,48050,30150,115508
"Casa independiente (001)",37199,140421,9506,34935,27693,105486
"Departamento en edificio (002)",163,481,163,481,,
"Vivienda en quinta (003)",576,1669,576,1669,,
"Vivienda en casa de vecindad (004)",3214,9611,3214,9611,,
"Choza o cabaña (005)",2417,9889,,,2417,9889
"Vivienda improvisada (006)",356,1205,356,1205,,
"Local no dest.para hab. humana (007)",63,180,41,99,22,81
"Otro tipo (008)",34,102,16,50,18,52
