"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia JULCAN (000)",30470,1815,4131,4714,3082,4513,4053,5937,2225
"Sin nivel (001)",7272,1815,899,97,122,343,785,1933,1278
"Educación inicial (002)",825,,782,9,12,15,7,,
"Primaria (003)",16665,,2450,3674,1485,2666,2386,3177,827
"Secundaria (004)",4660,,,934,1412,1171,552,529,62
"Superior no univ. incompleto (005)",299,,,,43,120,81,45,10
"Superior no univ. completo (006)",291,,,,,110,97,74,10
"Superior univ. incompleto (007)",87,,,,8,28,17,26,8
"Superior univ. completo (008)",371,,,,,60,128,153,30
"Hombres (010)",15260,906,2066,2443,1576,2194,1992,2971,1112
"Sin nivel (011)",2668,906,467,29,49,85,257,499,376
"Educación inicial (012)",390,,376,6,4,3,1,,
"Primaria (013)",8817,,1223,1894,702,1263,1185,1902,648
"Secundaria (014)",2773,,,514,790,698,362,368,41
"Superior no univ. incompleto (015)",154,,,,24,59,36,29,6
"Superior no univ. completo (016)",161,,,,,48,55,49,9
"Superior univ. incompleto (017)",62,,,,7,14,14,20,7
"Superior univ. completo (018)",235,,,,,24,82,104,25
"Mujeres (020)",15210,909,2065,2271,1506,2319,2061,2966,1113
"Sin nivel (021)",4604,909,432,68,73,258,528,1434,902
"Educación inicial (022)",435,,406,3,8,12,6,,
"Primaria (023)",7848,,1227,1780,783,1403,1201,1275,179
"Secundaria (024)",1887,,,420,622,473,190,161,21
"Superior no univ. incompleto (025)",145,,,,19,61,45,16,4
"Superior no univ. completo (026)",130,,,,,62,42,25,1
"Superior univ. incompleto (027)",25,,,,1,14,3,6,1
"Superior univ. completo (028)",136,,,,,36,46,49,5
,,,,,,,,,
"URBANA (030)",4571,218,490,711,436,635,718,1051,312
"Sin nivel (031)",858,218,65,15,14,37,98,262,149
"Educación inicial (032)",116,,111,1,,4,,,
"Primaria (033)",2050,,314,455,120,215,306,509,131
"Secundaria (034)",1029,,,240,283,219,141,136,10
"Superior no univ. incompleto (035)",114,,,,15,40,33,21,5
"Superior no univ. completo (036)",162,,,,,63,59,38,2
"Superior univ. incompleto (037)",41,,,,4,16,7,9,5
"Superior univ. completo (038)",201,,,,,41,74,76,10
"Hombres (040)",2212,111,234,392,220,267,335,506,147
"Sin nivel (041)",274,111,35,5,6,13,23,55,26
"Educación inicial (042)",48,,47,1,,,,,
"Primaria (043)",1022,,152,250,52,79,131,265,93
"Secundaria (044)",590,,,136,152,115,83,95,9
"Superior no univ. incompleto (045)",59,,,,6,14,20,15,4
"Superior no univ. completo (046)",74,,,,,23,29,21,1
"Superior univ. incompleto (047)",24,,,,4,6,4,6,4
"Superior univ. completo (048)",121,,,,,17,45,49,10
"Mujeres (050)",2359,107,256,319,216,368,383,545,165
"Sin nivel (051)",584,107,30,10,8,24,75,207,123
"Educación inicial (052)",68,,64,,,4,,,
"Primaria (053)",1028,,162,205,68,136,175,244,38
"Secundaria (054)",439,,,104,131,104,58,41,1
"Superior no univ. incompleto (055)",55,,,,9,26,13,6,1
"Superior no univ. completo (056)",88,,,,,40,30,17,1
"Superior univ. incompleto (057)",17,,,,,10,3,3,1
"Superior univ. completo (058)",80,,,,,24,29,27,
,,,,,,,,,
"RURAL (060)",25899,1597,3641,4003,2646,3878,3335,4886,1913
"Sin nivel (061)",6414,1597,834,82,108,306,687,1671,1129
"Educación inicial (062)",709,,671,8,12,11,7,,
"Primaria (063)",14615,,2136,3219,1365,2451,2080,2668,696
"Secundaria (064)",3631,,,694,1129,952,411,393,52
"Superior no univ. incompleto (065)",185,,,,28,80,48,24,5
"Superior no univ. completo (066)",129,,,,,47,38,36,8
"Superior univ. incompleto (067)",46,,,,4,12,10,17,3
"Superior univ. completo (068)",170,,,,,19,54,77,20
"Hombres (070)",13048,795,1832,2051,1356,1927,1657,2465,965
"Sin nivel (071)",2394,795,432,24,43,72,234,444,350
"Educación inicial (072)",342,,329,5,4,3,1,,
"Primaria (073)",7795,,1071,1644,650,1184,1054,1637,555
"Secundaria (074)",2183,,,378,638,583,279,273,32
"Superior no univ. incompleto (075)",95,,,,18,45,16,14,2
"Superior no univ. completo (076)",87,,,,,25,26,28,8
"Superior univ. incompleto (077)",38,,,,3,8,10,14,3
"Superior univ. completo (078)",114,,,,,7,37,55,15
"Mujeres (080)",12851,802,1809,1952,1290,1951,1678,2421,948
"Sin nivel (081)",4020,802,402,58,65,234,453,1227,779
"Educación inicial (082)",367,,342,3,8,8,6,,
"Primaria (083)",6820,,1065,1575,715,1267,1026,1031,141
"Secundaria (084)",1448,,,316,491,369,132,120,20
"Superior no univ. incompleto (085)",90,,,,10,35,32,10,3
"Superior no univ. completo (086)",42,,,,,22,12,8,
"Superior univ. incompleto (087)",8,,,,1,4,,3,
"Superior univ. completo (088)",56,,,,,12,17,22,5
