"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia CONDORCANQUI (000)",43311,21806,21505,6458,3282,3176,36853,18524,18329
"Menores de 1 año (001)",1551,802,749,167,86,81,1384,716,668
"Menores de 1 mes (002)",144,71,73,21,9,12,123,62,61
"De 1 a 11 meses (003)",1407,731,676,146,77,69,1261,654,607
"De 1 a 4 años (004)",6854,3387,3467,780,355,425,6074,3032,3042
"1 año (005)",1753,886,867,203,101,102,1550,785,765
"2 años (006)",1691,837,854,200,89,111,1491,748,743
"3 años (007)",1757,859,898,192,89,103,1565,770,795
"4 años (008)",1653,805,848,185,76,109,1468,729,739
"De 5 a 9 años (009)",7599,3798,3801,943,456,487,6656,3342,3314
"5 años (010)",1553,760,793,171,82,89,1382,678,704
"6 años (011)",1464,728,736,183,88,95,1281,640,641
"7 años (012)",1710,872,838,213,98,115,1497,774,723
"8 años (013)",1496,731,765,186,85,101,1310,646,664
"9 años (014)",1376,707,669,190,103,87,1186,604,582
"De 10 a 14 años (015)",6105,3093,3012,1016,515,501,5089,2578,2511
"10 años (016)",1434,745,689,181,80,101,1253,665,588
"11 años (017)",1167,613,554,173,97,76,994,516,478
"12 años (018)",1314,657,657,216,104,112,1098,553,545
"13 años (019)",1160,559,601,222,131,91,938,428,510
"14 años (020)",1030,519,511,224,103,121,806,416,390
"De 15 a 19 años (021)",4584,2260,2324,917,544,373,3667,1716,1951
"15 años (022)",1014,505,509,209,106,103,805,399,406
"16 años (023)",888,415,473,207,119,88,681,296,385
"17 años (024)",873,427,446,173,102,71,700,325,375
"18 años (025)",1032,538,494,198,138,60,834,400,434
"19 años (026)",777,375,402,130,79,51,647,296,351
"De 20 a 24 años (027)",3402,1584,1818,515,216,299,2887,1368,1519
"20 años (028)",796,366,430,123,54,69,673,312,361
"21 años (029)",569,250,319,87,30,57,482,220,262
"22 años (030)",705,337,368,97,39,58,608,298,310
"23 años (031)",706,363,343,109,57,52,597,306,291
"24 años (032)",626,268,358,99,36,63,527,232,295
"De 25 a 29 años (033)",3193,1550,1643,501,248,253,2692,1302,1390
"25 años (034)",723,346,377,108,49,59,615,297,318
"26 años (035)",578,257,321,89,40,49,489,217,272
"27 años (036)",662,342,320,106,59,47,556,283,273
"28 años (037)",684,340,344,104,54,50,580,286,294
"29 años (038)",546,265,281,94,46,48,452,219,233
"De 30 a 34 años (039)",2427,1263,1164,384,188,196,2043,1075,968
"30 años (040)",712,359,353,106,51,55,606,308,298
"31 años (041)",341,176,165,50,29,21,291,147,144
"32 años (042)",503,281,222,75,36,39,428,245,183
"33 años (043)",429,226,203,71,30,41,358,196,162
"34 años (044)",442,221,221,82,42,40,360,179,181
