"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ZARUMILLA (000)",582,141,441
"Sin nivel (001)",26,3,23
"Educación inicial (002)",1,,1
"Primaria (003)",168,37,131
"Secundaria (004)",268,70,198
"Superior no univ. incompleta (005)",34,5,29
"Superior no univ. completa (006)",45,14,31
"Superior univ. incompleta (007)",16,6,10
"Superior univ. completa (008)",24,6,18
"Hombres (010)",405,86,319
"Sin nivel (011)",21,2,19
"Educación inicial (012)",1,,1
"Primaria (013)",123,24,99
"Secundaria (014)",199,46,153
"Superior no univ. incompleta (015)",21,4,17
"Superior no univ. completa (016)",15,5,10
"Superior univ. incompleta (017)",10,1,9
"Superior univ. completa (018)",15,4,11
"Mujeres (020)",177,55,122
"Sin nivel (021)",5,1,4
"Primaria (023)",45,13,32
"Secundaria (024)",69,24,45
"Superior no univ. incompleta (025)",13,1,12
"Superior no univ. completa (026)",30,9,21
"Superior univ. incompleta (027)",6,5,1
"Superior univ. completa (028)",9,2,7
,,,
"AREA URBANA (030)",529,135,394
"Sin nivel (031)",16,3,13
"Educación inicial (032)",1,,1
"Primaria (033)",151,34,117
"Secundaria (034)",250,70,180
"Superior no univ. incompleta (035)",31,4,27
"Superior no univ. completa (036)",41,13,28
"Superior univ. incompleta (037)",15,5,10
"Superior univ. completa (038)",24,6,18
"Hombres (040)",361,82,279
"Sin nivel (041)",11,2,9
"Educación inicial (042)",1,,1
"Primaria (043)",108,22,86
"Secundaria (044)",185,46,139
"Superior no univ. incompleta (045)",18,3,15
"Superior no univ. completa (046)",13,4,9
"Superior univ. incompleta (047)",10,1,9
"Superior univ. completa (048)",15,4,11
"Mujeres (050)",168,53,115
"Sin nivel (051)",5,1,4
"Primaria (053)",43,12,31
"Secundaria (054)",65,24,41
"Superior no univ. incompleta (055)",13,1,12
"Superior no univ. completa (056)",28,9,19
"Superior univ. incompleta (057)",5,4,1
"Superior univ. completa (058)",9,2,7
,,,
"AREA RURAL (060)",53,6,47
"Sin nivel (061)",10,,10
"Primaria (063)",17,3,14
"Secundaria (064)",18,,18
"Superior no univ. incompleta (065)",3,1,2
"Superior no univ. completa (066)",4,1,3
"Superior univ. incompleta (067)",1,1,
"Hombres (070)",44,4,40
"Sin nivel (071)",10,,10
"Primaria (073)",15,2,13
"Secundaria (074)",14,,14
"Superior no univ. incompleta (075)",3,1,2
"Superior no univ. completa (076)",2,1,1
"Mujeres (080)",9,2,7
"Primaria (083)",2,1,1
"Secundaria (084)",4,,4
"Superior no univ. completa (086)",2,,2
"Superior univ. incompleta (087)",1,1,
