"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHICLAYO (000)",286673,3156,95318,106030,72034,10135
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",528,,23,193,285,27
"Profes., científicos e intelectuales (002)",30947,,7482,13932,8989,544
"Técnicos de nivel medio y trab.asimilados (003)",17874,21,5883,7270,4291,409
"Jefes y empleados de oficina (004)",13397,,5425,4758,3107,107
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",54568,550,16969,20574,14215,2260
"Agricult.trabaj. calif. agrop. y pesqueros (006)",7750,19,1066,2372,3155,1138
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",28008,276,9461,9681,7347,1243
"Obreros construc., conf., papel, fab., instr. (008)",36983,90,11787,15043,9027,1036
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",72284,1936,26555,24305,16856,2632
"Otra (010)",2939,,273,1716,945,5
"Ocupación no especificada (011)",6178,35,2034,2163,1606,340
"Desocupado (012)",15217,229,8360,4023,2211,394
"Hombres (013)",185440,2168,59988,67020,48538,7726
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",323,,12,112,181,18
"Profes., científicos e intelectuales (015)",14844,,3005,6270,5093,476
"Técnicos de nivel medio y trab.asimilados (016)",11068,19,3350,4466,2892,341
"Jefes y empleados de oficina (017)",6311,,2238,2183,1797,93
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",25660,347,8053,9436,6560,1264
"Agricult.trabaj. calif. agrop. y pesqueros (019)",7307,17,993,2210,2995,1092
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",21695,243,7721,7258,5532,941
"Obreros construc., conf., papel, fab., instr. (021)",35977,82,11444,14634,8809,1008
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",45818,1274,16615,14920,11065,1944
"Otra (023)",2786,,236,1635,910,5
"Ocupación no especificada (024)",3645,28,1202,1266,952,197
"Desocupado (025)",10006,158,5119,2630,1752,347
"Mujeres (026)",101233,988,35330,39010,23496,2409
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",205,,11,81,104,9
"Profes., científicos e intelectuales (028)",16103,,4477,7662,3896,68
"Técnicos de nivel medio y trab.asimilados (029)",6806,2,2533,2804,1399,68
"Jefes y empleados de oficina (030)",7086,,3187,2575,1310,14
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",28908,203,8916,11138,7655,996
