"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"De 40 a 44 años (047)",2595,,,,137,1135,930,393
"De 45 a 49 años (048)",2148,,,2,339,1108,401,298
"De 50 y más años (049)",7004,84,413,1196,2042,1327,80,1862
,,,,,,,,
"URBANA (060)",29150,67,357,1083,2757,6061,10461,8364
"De 12 a 14 años (061)",43,,,,,,1,42
"De 15 a 19 años (062)",576,,,,,,315,261
"De 20 a 24 años (063)",3388,,,,,9,1700,1679
"De 25 a 29 años (064)",4378,,,,,148,2589,1641
"De 30 a 34 años (065)",4031,,,,,619,2359,1053
"De 35 a 39 años (066)",3976,,,,33,1201,1926,816
"De 40 a 44 años (067)",3286,,,,182,1425,1068,611
"De 45 a 49 años (068)",2595,,,6,447,1284,427,431
"De 50 y más años (069)",6877,67,357,1077,2095,1375,76,1830
"PEA (070)",9319,4,33,171,835,2299,2972,3005
"De 12 a 14 años (071)",1,,,,,,,1
"De 15 a 19 años (072)",82,,,,,,47,35
"De 20 a 24 años (073)",877,,,,,4,348,525
"De 25 a 29 años (074)",1439,,,,,59,674,706
"De 30 a 34 años (075)",1415,,,,,236,703,476
"De 35 a 39 años (076)",1491,,,,14,471,656,350
"De 40 a 44 años (077)",1382,,,,79,592,389,322
"De 45 a 49 años (078)",1001,,,5,189,485,134,188
"De 50 y más años (079)",1631,4,33,166,553,452,21,402
"Ocupada (080)",8820,4,33,169,822,2223,2824,2745
"De 12 a 14 años (081)",1,,,,,,,1
"De 15 a 19 años (082)",75,,,,,,43,32
"De 20 a 24 años (083)",765,,,,,4,321,440
"De 25 a 29 años (084)",1295,,,,,57,627,611
"De 30 a 34 años (085)",1333,,,,,220,667,446
"De 35 a 39 años (086)",1431,,,,12,452,631,336
"De 40 a 44 años (087)",1350,,,,76,579,384,311
"De 45 a 49 años (088)",976,,,5,187,472,130,182
"De 50 y más años (089)",1594,4,33,164,547,439,21,386
"Desocupada (090)",499,,,2,13,76,148,260
"De 15 a 19 años (092)",7,,,,,,4,3
"De 20 a 24 años (093)",112,,,,,,27,85
"De 25 a 29 años (094)",144,,,,,2,47,95
"De 30 a 34 años (095)",82,,,,,16,36,30
"De 35 a 39 años (096)",60,,,,2,19,25,14
"De 40 a 44 años (097)",32,,,,3,13,5,11
"De 45 a 49 años (098)",25,,,,2,13,4,6
"De 50 y más años (099)",37,,,2,6,13,,16
"No PEA (100)",19831,63,324,912,1922,3762,7489,5359
"De 12 a 14 años (101)",42,,,,,,1,41
"De 15 a 19 años (102)",494,,,,,,268,226
"De 20 a 24 años (103)",2511,,,,,5,1352,1154
"De 25 a 29 años (104)",2939,,,,,89,1915,935
"De 30 a 34 años (105)",2616,,,,,383,1656,577
"De 35 a 39 años (106)",2485,,,,19,730,1270,466
"De 40 a 44 años (107)",1904,,,,103,833,679,289
"De 45 a 49 años (108)",1594,,,1,258,799,293,243
"De 50 y más años (109)",5246,63,324,911,1542,923,55,1428
,,,,,,,,
"RURAL (120)",8233,22,101,341,758,1770,3127,2114
"De 12 a 14 años (121)",13,,,,,,,13
"De 15 a 19 años (122)",224,,,,,,137,87
"De 20 a 24 años (123)",1103,,,,,6,639,458
"De 25 a 29 años (124)",1231,,,,,58,792,381
"De 30 a 34 años (125)",960,,,,,157,584,219
"De 35 a 39 años (126)",1039,,,,12,319,517,191
"De 40 a 44 años (127)",849,,,,42,370,293,144
"De 45 a 49 años (128)",686,,,1,99,375,132,79
"De 50 y más años (129)",2128,22,101,340,605,485,33,542
"PEA (130)",1608,1,12,55,136,332,522,550
"De 12 a 14 años (131)",2,,,,,,,2
"De 15 a 19 años (132)",30,,,,,,18,12
"De 20 a 24 años (133)",216,,,,,1,94,121
"De 25 a 29 años (134)",275,,,,,18,133,124
"De 30 a 34 años (135)",204,,,,,30,112,62
"De 35 a 39 años (136)",221,,,,5,68,91,57
"De 40 a 44 años (137)",158,,,,8,68,42,40
"De 45 a 49 años (138)",132,,,,18,66,24,24
"De 50 y más años (139)",370,1,12,55,105,81,8,108
"Ocupada (140)",1524,1,12,55,135,325,499,497
"De 12 a 14 años (141)",1,,,,,,,1
"De 15 a 19 años (142)",24,,,,,,15,9
"De 20 a 24 años (143)",197,,,,,1,91,105
"De 25 a 29 años (144)",249,,,,,18,127,104
"De 30 a 34 años (145)",192,,,,,28,109,55
"De 35 a 39 años (146)",211,,,,4,66,87,54
"De 40 a 44 años (147)",151,,,,8,66,38,39
"De 45 a 49 años (148)",131,,,,18,65,24,24
"De 50 y más años (149)",368,1,12,55,105,81,8,106
"Desocupada (150)",84,,,,1,7,23,53
"De 12 a 14 años (151)",1,,,,,,,1
"De 15 a 19 años (152)",6,,,,,,3,3
"De 20 a 24 años (153)",19,,,,,,3,16
"De 25 a 29 años (154)",26,,,,,,6,20
"De 30 a 34 años (155)",12,,,,,2,3,7
"De 35 a 39 años (156)",10,,,,1,2,4,3
"De 40 a 44 años (157)",7,,,,,2,4,1
"De 45 a 49 años (158)",1,,,,,1,,
"De 50 y más años (159)",2,,,,,,,2
"No PEA (160)",6625,21,89,286,622,1438,2605,1564
"De 12 a 14 años (161)",11,,,,,,,11
"De 15 a 19 años (162)",194,,,,,,119,75
"De 20 a 24 años (163)",887,,,,,5,545,337
"De 25 a 29 años (164)",956,,,,,40,659,257
"De 30 a 34 años (165)",756,,,,,127,472,157
"De 35 a 39 años (166)",818,,,,7,251,426,134
"De 40 a 44 años (167)",691,,,,34,302,251,104
"De 45 a 49 años (168)",554,,,1,81,309,108,55
"De 50 y más años (169)",1758,21,89,285,500,404,25,434
