"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia VIRU (000)",70849,3573,7613,8490,8314,16876,10415,12280,3288
"Sin nivel (001)",10756,3573,1112,276,317,723,1116,2340,1299
"Educación inicial (002)",2079,,1916,56,13,60,34,,
"Primaria (003)",29794,,4585,5757,2373,5716,4144,5735,1484
"Secundaria (004)",20235,,,2401,4816,6840,3243,2631,304
"Superior no univ. incompleto (005)",2648,,,,513,1186,497,408,44
"Superior no univ. completo (006)",2259,,,,,1112,628,456,63
"Superior univ. incompleto (007)",1354,,,,282,626,226,195,25
"Superior univ. completo (008)",1724,,,,,613,527,515,69
"Hombres (010)",36740,1776,3894,4316,4229,8959,5438,6348,1780
"Sin nivel (011)",4201,1776,579,151,142,237,341,585,390
"Educación inicial (012)",1090,,1000,29,10,36,15,,
"Primaria (013)",15593,,2315,2980,1188,2934,2082,3073,1021
"Secundaria (014)",11427,,,1156,2532,3906,1926,1692,215
"Superior no univ. incompleto (015)",1447,,,,233,628,285,271,30
"Superior no univ. completo (016)",1247,,,,,577,355,270,45
"Superior univ. incompleto (017)",762,,,,124,345,144,131,18
"Superior univ. completo (018)",973,,,,,296,290,326,61
"Mujeres (020)",34109,1797,3719,4174,4085,7917,4977,5932,1508
"Sin nivel (021)",6555,1797,533,125,175,486,775,1755,909
"Educación inicial (022)",989,,916,27,3,24,19,,
"Primaria (023)",14201,,2270,2777,1185,2782,2062,2662,463
"Secundaria (024)",8808,,,1245,2284,2934,1317,939,89
"Superior no univ. incompleto (025)",1201,,,,280,558,212,137,14
"Superior no univ. completo (026)",1012,,,,,535,273,186,18
"Superior univ. incompleto (027)",592,,,,158,281,82,64,7
"Superior univ. completo (028)",751,,,,,317,237,189,8
,,,,,,,,,
"URBANA (030)",54437,2750,5930,6455,6441,13763,8199,8862,2037
"Sin nivel (031)",7499,2750,779,184,226,523,788,1507,742
"Educación inicial (032)",1701,,1578,41,11,46,25,,
"Primaria (033)",22158,,3573,4336,1730,4389,3150,4045,935
"Secundaria (034)",16403,,,1894,3819,5780,2643,2055,212
"Superior no univ. incompleto (035)",2211,,,,415,1012,424,323,37
