"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia PAUCARTAMBO (000)",15670,840,1340,9166,197,3535,105,487
"Agric., ganadería, caza y silvicultura (001)",11616,6,584,7626,145,3255,,
"Pesca (002)",3,,,3,,,,
"Explotación de minas y canteras (003)",24,1,14,7,2,,,
"Industrias manufactureras (004)",619,2,64,475,14,64,,
"Suministro de electricidad, gas y agua (005)",14,3,10,1,,,,
"Construcción (006)",519,6,396,93,6,18,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",654,35,10,495,8,106,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",32,,7,22,,3,,
"Comercio al por mayor (009)",13,2,1,8,,2,,
"Comercio al por menor (010)",609,33,2,465,8,101,,
"Hoteles y restaurantes (011)",261,39,7,191,5,19,,
"Trans., almac. y comunicaciones (012)",211,56,24,115,7,9,,
"Intermediación financiera (013)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (014)",37,25,4,4,3,1,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",357,180,177,,,,,
"Enseñanza (016)",329,317,,10,,2,,
"Servicios sociales y de salud (017)",104,92,3,6,1,2,,
"Otras activ. serv.comun.soc y personales (018)",107,48,17,38,1,3,,
"Hogares privados con servicio doméstico (019)",105,,,,,,105,
"Actividad economica no especificada (021)",222,29,30,102,5,56,,
"Desocupado (022)",487,,,,,,,487
"Hombres (023)",10637,505,1099,7399,156,1083,13,382
"Agric., ganadería, caza y silvicultura (024)",8293,5,387,6772,124,1005,,
"Pesca (025)",3,,,3,,,,
"Explotación de minas y canteras (026)",24,1,14,7,2,,,
"Industrias manufactureras (027)",207,1,56,138,3,9,,
"Suministro de electricidad, gas y agua (028)",12,1,10,1,,,,
"Construcción (029)",509,6,388,91,6,18,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",264,25,10,197,5,27,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",29,,7,20,,2,,
"Comercio al por mayor (032)",9,2,1,4,,2,,
"Comercio al por menor (033)",226,23,2,173,5,23,,
"Hoteles y restaurantes (034)",24,5,3,12,2,2,,
"Trans., almac. y comunicaciones (035)",200,52,23,110,7,8,,
"Activid.inmobil., empres. y alquileres (037)",29,19,3,4,2,1,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",316,150,166,,,,,
"Enseñanza (039)",162,160,,2,,,,
"Servicios sociales y de salud (040)",37,28,3,5,1,,,
"Otras activ. serv.comun.soc y personales (041)",72,35,16,19,,2,,
"Hogares privados con servicio doméstico (042)",13,,,,,,13,
"Actividad economica no especificada (044)",90,17,20,38,4,11,,
"Desocupado (045)",382,,,,,,,382
"Mujeres (046)",5033,335,241,1767,41,2452,92,105
"Agric., ganadería, caza y silvicultura (047)",3323,1,197,854,21,2250,,
"Industrias manufactureras (050)",412,1,8,337,11,55,,
"Suministro de electricidad, gas y agua (051)",2,2,,,,,,
"Construcción (052)",10,,8,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",390,10,,298,3,79,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",3,,,2,,1,,
"Comercio al por mayor (055)",4,,,4,,,,
"Comercio al por menor (056)",383,10,,292,3,78,,
"Hoteles y restaurantes (057)",237,34,4,179,3,17,,
"Trans., almac. y comunicaciones (058)",11,4,1,5,,1,,
"Intermediación financiera (059)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (060)",8,6,1,,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",41,30,11,,,,,
"Enseñanza (062)",167,157,,8,,2,,
"Servicios sociales y de salud (063)",67,64,,1,,2,,
"Otras activ. serv.comun.soc y personales (064)",35,13,1,19,1,1,,
"Hogares privados con servicio doméstico (065)",92,,,,,,92,
"Actividad economica no especificada (067)",132,12,10,64,1,45,,
,,,,,,,,
"URBANA (068)",3083,598,421,1471,57,279,54,203
"Agric., ganadería, caza y silvicultura (069)",964,4,105,682,24,149,,
"Explotación de minas y canteras (071)",4,,1,2,1,,,
"Industrias manufactureras (072)",117,,18,91,4,4,,
"Suministro de electricidad, gas y agua (073)",5,2,3,,,,,
"Construcción (074)",200,5,145,41,3,6,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",464,18,5,359,7,75,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",17,,3,11,,3,,
"Comercio al por mayor (077)",6,1,,3,,2,,
"Comercio al por menor (078)",441,17,2,345,7,70,,
"Hoteles y restaurantes (079)",179,21,5,138,4,11,,
"Trans., almac. y comunicaciones (080)",112,26,7,69,6,4,,
"Activid.inmobil., empres. y alquileres (082)",22,16,1,4,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",250,149,101,,,,,
"Enseñanza (084)",245,236,,8,,1,,
"Servicios sociales y de salud (085)",77,72,,3,1,1,,
"Otras activ. serv.comun.soc y personales (086)",79,35,11,29,1,3,,
"Hogares privados con servicio doméstico (087)",54,,,,,,54,
"Actividad economica no especificada (089)",108,14,19,45,5,25,,
"Desocupado (090)",203,,,,,,,203
"Hombres (091)",1975,349,366,936,42,116,6,160
"Agric., ganadería, caza y silvicultura (092)",750,4,75,579,20,72,,
"Explotación de minas y canteras (094)",4,,1,2,1,,,
"Industrias manufactureras (095)",91,,16,69,2,4,,
"Suministro de electricidad, gas y agua (096)",3,,3,,,,,
"Construcción (097)",197,5,143,40,3,6,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",177,13,5,134,4,21,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",15,,3,10,,2,,
"Comercio al por mayor (100)",3,1,,,,2,,
"Comercio al por menor (101)",159,12,2,124,4,17,,
"Hoteles y restaurantes (102)",17,3,2,9,1,2,,
"Trans., almac. y comunicaciones (103)",103,24,6,64,6,3,,
"Activid.inmobil., empres. y alquileres (105)",16,11,1,4,,,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",218,126,92,,,,,
"Enseñanza (107)",112,111,,1,,,,
"Servicios sociales y de salud (108)",23,19,,3,1,,,
"Otras activ. serv.comun.soc y personales (109)",54,26,11,15,,2,,
"Hogares privados con servicio doméstico (110)",6,,,,,,6,
"Actividad economica no especificada (112)",44,7,11,16,4,6,,
"Desocupado (113)",160,,,,,,,160
"Mujeres (114)",1108,249,55,535,15,163,48,43
"Agric., ganadería, caza y silvicultura (115)",214,,30,103,4,77,,
"Industrias manufactureras (118)",26,,2,22,2,,,
"Suministro de electricidad, gas y agua (119)",2,2,,,,,,
"Construcción (120)",3,,2,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (121)",287,5,,225,3,54,,
"Venta, mant.y rep. veh.autom.y motoc. (122)",2,,,1,,1,,
"Comercio al por mayor (123)",3,,,3,,,,
"Comercio al por menor (124)",282,5,,221,3,53,,
"Hoteles y restaurantes (125)",162,18,3,129,3,9,,
