"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CASTILLA (000)",16479,2293,6868,5364,361,1373,220
"Sin nivel (001)",1330,17,452,578,20,252,11
"Educación inicial (002)",15,,6,4,,4,1
"Primaria (003)",4016,83,1798,1547,76,451,61
"Secundaria (004)",6531,503,3437,1908,127,450,106
"Superior no univ. incompleta (005)",1064,204,381,386,23,55,15
"Superior no univ. completa (006)",1667,608,505,433,41,66,14
"Superior univ. incompleta (007)",520,98,136,217,19,43,7
"Superior univ. completa (008)",1336,780,153,291,55,52,5
"Hombres (010)",11486,1308,5567,3689,277,623,22
"Sin nivel (011)",581,7,216,287,10,61,
"Educación inicial (012)",9,,5,2,,2,
"Primaria (013)",2778,40,1342,1124,54,212,6
"Secundaria (014)",5068,342,2972,1392,104,245,13
"Superior no univ. incompleta (015)",763,124,332,261,17,27,2
"Superior no univ. completa (016)",1038,296,436,250,28,28,
"Superior univ. incompleta (017)",407,69,125,168,18,27,
"Superior univ. completa (018)",842,430,139,205,46,21,1
"Mujeres (020)",4993,985,1301,1675,84,750,198
"Sin nivel (021)",749,10,236,291,10,191,11
"Educación inicial (022)",6,,1,2,,2,1
"Primaria (023)",1238,43,456,423,22,239,55
"Secundaria (024)",1463,161,465,516,23,205,93
"Superior no univ. incompleta (025)",301,80,49,125,6,28,13
"Superior no univ. completa (026)",629,312,69,183,13,38,14
"Superior univ. incompleta (027)",113,29,11,49,1,16,7
"Superior univ. completa (028)",494,350,14,86,9,31,4
,,,,,,,
"URBANA (030)",9468,1781,3477,3179,186,691,154
"Sin nivel (031)",518,11,190,236,8,67,6
"Educación inicial (032)",11,,5,3,,2,1
"Primaria (033)",1962,69,822,781,34,210,46
"Secundaria (034)",3664,398,1704,1167,65,256,74
"Superior no univ. incompleta (035)",735,164,225,275,17,42,12
"Superior no univ. completa (036)",1189,460,329,329,19,45,7
"Superior univ. incompleta (037)",362,80,85,163,4,27,3
"Superior univ. completa (038)",1027,599,117,225,39,42,5
"Hombres (040)",6202,964,2821,1980,127,298,12
"Sin nivel (041)",176,2,78,83,2,11,
"Educación inicial (042)",7,,4,2,,1,
"Primaria (043)",1253,32,604,498,17,99,3
"Secundaria (044)",2686,259,1474,777,48,122,6
"Superior no univ. incompleta (045)",500,99,199,171,11,18,2
"Superior no univ. completa (046)",690,208,281,175,13,13,
"Superior univ. incompleta (047)",269,52,76,120,4,17,
"Superior univ. completa (048)",621,312,105,154,32,17,1
"Mujeres (050)",3266,817,656,1199,59,393,142
"Sin nivel (051)",342,9,112,153,6,56,6
"Educación inicial (052)",4,,1,1,,1,1
"Primaria (053)",709,37,218,283,17,111,43
"Secundaria (054)",978,139,230,390,17,134,68
"Superior no univ. incompleta (055)",235,65,26,104,6,24,10
"Superior no univ. completa (056)",499,252,48,154,6,32,7
"Superior univ. incompleta (057)",93,28,9,43,,10,3
"Superior univ. completa (058)",406,287,12,71,7,25,4
,,,,,,,
"RURAL (060)",7011,512,3391,2185,175,682,66
"Sin nivel (061)",812,6,262,342,12,185,5
"Educación inicial (062)",4,,1,1,,2,
"Primaria (063)",2054,14,976,766,42,241,15
"Secundaria (064)",2867,105,1733,741,62,194,32
"Superior no univ. incompleta (065)",329,40,156,111,6,13,3
"Superior no univ. completa (066)",478,148,176,104,22,21,7
"Superior univ. incompleta (067)",158,18,51,54,15,16,4
"Superior univ. completa (068)",309,181,36,66,16,10,
"Hombres (070)",5284,344,2746,1709,150,325,10
"Sin nivel (071)",405,5,138,204,8,50,
"Educación inicial (072)",2,,1,,,1,
"Primaria (073)",1525,8,738,626,37,113,3
"Secundaria (074)",2382,83,1498,615,56,123,7
"Superior no univ. incompleta (075)",263,25,133,90,6,9,
"Superior no univ. completa (076)",348,88,155,75,15,15,
"Superior univ. incompleta (077)",138,17,49,48,14,10,
"Superior univ. completa (078)",221,118,34,51,14,4,
"Mujeres (080)",1727,168,645,476,25,357,56
"Sin nivel (081)",407,1,124,138,4,135,5
"Educación inicial (082)",2,,,1,,1,
"Primaria (083)",529,6,238,140,5,128,12
"Secundaria (084)",485,22,235,126,6,71,25
"Superior no univ. incompleta (085)",66,15,23,21,,4,3
"Superior no univ. completa (086)",130,60,21,29,7,6,7
"Superior univ. incompleta (087)",20,1,2,6,1,6,4
"Superior univ. completa (088)",88,63,2,15,2,6,
