"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia OYON (000)",18007,4098,5132,4295,2910,1572
"Sin nivel (001)",1396,89,76,272,411,548
"Educación inicial (002)",327,310,14,3,,
"Primaria (003)",6540,2962,530,1112,1214,722
"Secundaria (004)",6373,737,3249,1536,698,153
"Superior no univ. incompleta (005)",826,,422,264,109,31
"Superior no univ. completa (006)",782,,326,307,121,28
"Superior univ. incompleta (007)",509,,221,178,84,26
"Superior univ. completa (008)",1254,,294,623,273,64
"PEA (010)",7803,82,2531,2863,1784,543
"Sin nivel (011)",369,1,32,86,136,114
"Educación inicial (012)",7,,5,2,,
"Primaria (013)",1781,50,227,549,655,300
"Secundaria (014)",3066,31,1397,1049,523,66
"Superior no univ. incompleta (015)",574,,251,221,87,15
"Superior no univ. completa (016)",651,,265,273,101,12
"Superior univ. incompleta (017)",335,,112,140,71,12
"Superior univ. completa (018)",1020,,242,543,211,24
"Ocupada (020)",7550,79,2378,2804,1753,536
"Sin nivel (021)",354,1,28,83,132,110
"Educación inicial (022)",7,,5,2,,
"Primaria (023)",1736,49,212,537,640,298
"Secundaria (024)",2944,29,1305,1026,518,66
"Superior no univ. incompleta (025)",551,,235,215,86,15
"Superior no univ. completa (026)",630,,250,269,99,12
"Superior univ. incompleta (027)",325,,104,138,71,12
"Superior univ. completa (028)",1003,,239,534,207,23
"Desocupada (030)",253,3,153,59,31,7
"Sin nivel (031)",15,,4,3,4,4
"Primaria (033)",45,1,15,12,15,2
