"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CUTERVO (000)",31110,137853,6374,26520,24736,111333
"Casa independiente (001)",28439,126202,6170,25641,22269,100561
"Departamento en edificio (002)",70,316,70,316,,
"Vivienda en quinta (003)",53,221,53,221,,
"Vivienda en casa de vecindad (004)",68,300,68,300,,
"Choza o cabaña (005)",2452,10716,,,2452,10716
"Vivienda improvisada (006)",4,15,4,15,,
"Local no dest.para hab. humana (007)",21,80,8,26,13,54
"Otro tipo (008)",3,3,1,1,2,2
