"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ASCOPE (000)",27487,115652,24067,101653,3420,13999
"Casa independiente (001)",27002,113931,23658,100171,3344,13760
"Departamento en edificio (002)",29,115,29,115,,
"Vivienda en quinta (003)",67,212,67,212,,
"Vivienda en casa de vecindad (004)",157,581,157,581,,
"Choza o cabaña (005)",74,233,,,74,233
"Vivienda improvisada (006)",138,528,138,528,,
"Local no dest.para hab. humana (007)",19,51,18,46,1,5
"Otro tipo (008)",1,1,,,1,1
