"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PAITA (000)",39827,98099,89106,,2219,90.8,2.3
"De 12 a 14 años (001)",3603,12,12,,2,100,16.7
"De 15 a 19 años (002)",5633,768,755,213,98.3,27.7,
"De 20 a 24 años (003)",5020,4173,4100,638,98.3,15.3,
"De 25 a 29 años (004)",4848,7790,7620,622,97.8,8,
"De 30 a 34 años (005)",4259,10045,9769,425,97.3,4.2,
"De 35 a 39 años (006)",3756,10955,10491,244,95.8,2.2,
"De 40 a 44 años (007)",3115,10835,10214,64,94.3,0.6,
"De 45 a 49 años (008)",2476,10568,9726,11,92,0.1,
"De 50 y más años (009)",7117,42953,36419,,84.8,,
"Conviviente (010)",9565,24230,22786,1233,94,5.1,
"De 12 a 14 años (011)",31,2,2,1,100,50,
"De 15 a 19 años (012)",871,558,548,161,98.2,28.9,
"De 20 a 24 años (013)",1925,2491,2446,401,98.2,16.1,
"De 25 a 29 años (014)",2057,3970,3883,341,97.8,8.6,
"De 30 a 34 años (015)",1597,4176,4065,205,97.3,4.9,
"De 35 a 39 años (016)",1136,3611,3465,101,96,2.8,
"De 40 a 44 años (017)",718,2629,2459,18,93.5,0.7,
"De 45 a 49 años (018)",429,1928,1778,5,92.2,0.3,
"De 50 y más años (019)",801,4865,4140,,85.1,,
"Separado(a) (020)",1887,5544,5150,103,92.9,1.9,
"De 12 a 14 años (021)",2,,,,,,
"De 15 a 19 años (022)",56,52,51,12,98.1,23.1,
"De 20 a 24 años (023)",201,256,254,34,99.2,13.3,
"De 25 a 29 años (024)",247,395,385,32,97.5,8.1,
"De 30 a 34 años (025)",278,620,610,12,98.4,1.9,
"De 35 a 39 años (026)",269,708,685,8,96.8,1.1,
"De 40 a 44 años (027)",229,751,704,4,93.7,0.5,
"De 45 a 49 años (028)",210,822,773,1,94,0.1,
"De 50 y más años (029)",395,1940,1688,,87,,
"Casado(a) (030)",13754,55549,50443,802,90.8,1.4,
"De 12 a 14 años (031)",4,4,4,,100,,
"De 15 a 19 años (032)",130,95,94,30,98.9,31.6,
"De 20 a 24 años (033)",914,1162,1139,172,98,14.8,
"De 25 a 29 años (034)",1597,3123,3053,227,97.8,7.3,
"De 30 a 34 años (035)",1859,4887,4745,201,97.1,4.1,
"De 35 a 39 años (036)",1891,6188,5908,127,95.5,2.1,
