"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CUSCO (000)",154514,61658,14278,62667,4186,6720,5005
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",539,361,,,178,,
"Profes., científicos e intelectuales (002)",26236,20336,,5225,571,104,
"Técnicos de nivel medio y trab. asimilados (003)",12672,7439,,4180,909,124,20
"Jefes y empleados de oficina (004)",9783,9626,,78,,79,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",35949,11894,119,19695,1002,3230,9
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3900,6,1,3741,152,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",12483,,2497,8845,710,431,
"Obreros construc.,conf.,papel, fab., instr. (008)",20688,2866,5983,11139,458,240,2
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",26421,5656,4939,8617,124,2111,4974
"Otra (010)",1928,1928,,,,,
"Ocupación no especificada (011)",3915,1546,739,1147,82,401,
"Hombres (012)",85755,32533,12829,34969,2589,2473,362
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",347,234,,,113,,
"Profes., científicos e intelectuales (014)",13043,9396,,3208,395,44,
"Técnicos de nivel medio y trab. asimilados (015)",7226,3969,,2648,553,54,2
"Jefes y empleados de oficina (016)",4711,4641,,42,,28,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",13560,6089,57,6349,381,684,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3101,5,1,2991,104,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",9946,,2150,6925,569,302,
"Obreros construc.,conf.,papel, fab., instr. (020)",18722,2782,5734,9646,389,169,2
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",11059,2782,4262,2573,34,1050,358
"Otra (022)",1768,1768,,,,,
"Ocupación no especificada (023)",2272,867,625,587,51,142,
"Mujeres (024)",68759,29125,1449,27698,1597,4247,4643
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",192,127,,,65,,
"Profes., científicos e intelectuales (026)",13193,10940,,2017,176,60,
"Técnicos de nivel medio y trab. asimilados (027)",5446,3470,,1532,356,70,18
"Jefes y empleados de oficina (028)",5072,4985,,36,,51,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",22389,5805,62,13346,621,2546,9
"Agricult.trabaj.calif.agrop.y pesqueros (030)",799,1,,750,48,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",2537,,347,1920,141,129,
"Obreros construc.,conf.,papel, fab., instr. (032)",1966,84,249,1493,69,71,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",15362,2874,677,6044,90,1061,4616
"Otra (034)",160,160,,,,,
"Ocupación no especificada (035)",1643,679,114,560,31,259,
,,,,,,,
"URBANA (036)",149075,61093,13380,59525,4092,6054,4931
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",534,356,,,178,,
"Profes., científicos e intelectuales (038)",26143,20274,,5196,569,104,
"Técnicos de nivel medio y trab. asimilados (039)",12586,7404,,4136,902,124,20
"Jefes y empleados de oficina (040)",9711,9554,,78,,79,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",35415,11727,117,19374,991,3198,8
"Agricult.trabaj.calif.agrop.y pesqueros (042)",2053,6,1,1942,104,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",12099,,2388,8604,696,411,
"Obreros construc.,conf.,papel, fab., instr. (044)",19939,2791,5684,10781,448,234,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",24872,5536,4484,8311,122,1517,4902
"Otra (046)",1915,1915,,,,,
"Ocupación no especificada (047)",3808,1530,706,1103,82,387,
"Hombres (048)",81917,32189,11999,32676,2519,2181,353
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",344,231,,,113,,
"Profes., científicos e intelectuales (050)",12994,9364,,3193,393,44,
"Técnicos de nivel medio y trab. asimilados (051)",7170,3948,,2619,547,54,2
"Jefes y empleados de oficina (052)",4680,4610,,42,,28,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",13374,5996,56,6265,377,680,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",1521,5,1,1448,67,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",9655,,2065,6743,558,289,
"Obreros construc.,conf.,papel, fab., instr. (056)",18006,2707,5440,9315,380,163,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",10203,2711,3837,2485,33,787,350
"Otra (058)",1756,1756,,,,,
"Ocupación no especificada (059)",2214,861,600,566,51,136,
"Mujeres (060)",67158,28904,1381,26849,1573,3873,4578
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",190,125,,,65,,
"Profes., científicos e intelectuales (062)",13149,10910,,2003,176,60,
"Técnicos de nivel medio y trab. asimilados (063)",5416,3456,,1517,355,70,18
"Jefes y empleados de oficina (064)",5031,4944,,36,,51,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",22041,5731,61,13109,614,2518,8
"Agricult.trabaj.calif.agrop.y pesqueros (066)",532,1,,494,37,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",2444,,323,1861,138,122,
"Obreros construc.,conf.,papel, fab., instr. (068)",1933,84,244,1466,68,71,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",14669,2825,647,5826,89,730,4552
"Otra (070)",159,159,,,,,
"Ocupación no especificada (071)",1594,669,106,537,31,251,
,,,,,,,
"RURAL (072)",5439,565,898,3142,94,666,74
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",5,5,,,,,
"Profes., científicos e intelectuales (074)",93,62,,29,2,,
"Técnicos de nivel medio y trab. asimilados (075)",86,35,,44,7,,
"Jefes y empleados de oficina (076)",72,72,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",534,167,2,321,11,32,1
"Agricult.trabaj.calif.agrop.y pesqueros (078)",1847,,,1799,48,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",384,,109,241,14,20,
"Obreros construc.,conf.,papel, fab., instr. (080)",749,75,299,358,10,6,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",1549,120,455,306,2,594,72
"Otra (082)",13,13,,,,,
"Ocupación no especificada (083)",107,16,33,44,,14,
"Hombres (084)",3838,344,830,2293,70,292,9
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",3,3,,,,,
"Profes., científicos e intelectuales (086)",49,32,,15,2,,
"Técnicos de nivel medio y trab. asimilados (087)",56,21,,29,6,,
"Jefes y empleados de oficina (088)",31,31,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",186,93,1,84,4,4,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",1580,,,1543,37,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",291,,85,182,11,13,
"Obreros construc.,conf.,papel, fab., instr. (092)",716,75,294,331,9,6,1
