"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia LORETO (000)",17332,41,1233,409,389,1291,6579,813,840,5073,48,616
"Agric., ganadería, caza y silvicultura (001)",9888,,1,3,,1,6512,1,,3370,,
"Pesca (002)",330,,,,1,,67,,,262,,
"Explotación de minas y canteras (003)",424,,54,45,21,,,207,53,44,,
"Industrias manufactureras (004)",444,,8,9,4,3,,343,25,52,,
"Suministro de electricidad, gas y agua (005)",14,,,2,,,,2,2,8,,
"Construcción (006)",885,,33,58,11,,,143,429,211,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1396,,4,41,1,968,,86,2,294,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",113,,3,18,,15,,75,,2,,
"Comercio al por mayor (009)",57,,,10,,40,,1,1,5,,
"Comercio al por menor (010)",1226,,1,13,1,913,,10,1,287,,
"Hoteles y restaurantes (011)",498,,6,10,28,228,,3,6,217,,
"Trans., almac. y comunicaciones (012)",434,,5,23,21,10,,7,293,75,,
"Intermediación financiera (013)",4,,,1,1,,,,,2,,
"Activid.inmobil., empres. y alquileres (014)",316,,47,58,70,39,,14,6,82,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",462,22,7,17,192,16,,3,18,139,48,
"Enseñanza (016)",1034,18,1003,4,4,,,,2,3,,
"Servicios sociales y de salud (017)",152,,50,74,5,10,,2,1,10,,
"Otras activ. serv.comun.soc y personales (018)",161,1,13,54,8,16,,2,3,64,,
"Hogares privados con servicio doméstico (019)",240,,,,,,,,,240,,
"Actividad economica no especificada (021)",650,,2,10,22,,,,,,,616
"Hombres (022)",13225,35,770,345,274,728,6013,775,823,3069,45,348
"Agric., ganadería, caza y silvicultura (023)",7899,,1,1,,,5948,1,,1948,,
"Pesca (024)",320,,,,1,,65,,,254,,
"Explotación de minas y canteras (025)",417,,50,45,19,,,207,53,43,,
"Industrias manufactureras (026)",401,,8,6,4,2,,307,24,50,,
"Suministro de electricidad, gas y agua (027)",13,,,2,,,,2,2,7,,
"Construcción (028)",868,,30,58,11,,,142,419,208,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",842,,4,33,1,562,,86,2,154,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",109,,3,17,,12,,75,,2,,
"Comercio al por mayor (031)",38,,,5,,27,,1,1,4,,
"Comercio al por menor (032)",695,,1,11,1,523,,10,1,148,,
"Hoteles y restaurantes (033)",219,,4,8,26,82,,3,6,90,,
"Trans., almac. y comunicaciones (034)",410,,4,21,15,9,,6,288,67,,
"Intermediación financiera (035)",1,,,,,,,,,1,,
"Activid.inmobil., empres. y alquileres (036)",271,,41,52,41,39,,14,6,78,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",349,17,5,15,133,15,,3,17,99,45,
"Enseñanza (038)",607,17,582,3,2,,,,2,1,,
"Servicios sociales y de salud (039)",87,,27,45,4,6,,2,1,2,,
"Otras activ. serv.comun.soc y personales (040)",127,1,12,47,8,13,,2,3,41,,
"Hogares privados con servicio doméstico (041)",26,,,,,,,,,26,,
"Actividad economica no especificada (043)",368,,2,9,9,,,,,,,348
"Mujeres (044)",4107,6,463,64,115,563,566,38,17,2004,3,268
"Agric., ganadería, caza y silvicultura (045)",1989,,,2,,1,564,,,1422,,
"Pesca (046)",10,,,,,,2,,,8,,
"Explotación de minas y canteras (047)",7,,4,,2,,,,,1,,
"Industrias manufactureras (048)",43,,,3,,1,,36,1,2,,
"Suministro de electricidad, gas y agua (049)",1,,,,,,,,,1,,
"Construcción (050)",17,,3,,,,,1,10,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",554,,,8,,406,,,,140,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",4,,,1,,3,,,,,,
"Comercio al por mayor (053)",19,,,5,,13,,,,1,,
"Comercio al por menor (054)",531,,,2,,390,,,,139,,
"Hoteles y restaurantes (055)",279,,2,2,2,146,,,,127,,
"Trans., almac. y comunicaciones (056)",24,,1,2,6,1,,1,5,8,,
"Intermediación financiera (057)",3,,,1,1,,,,,1,,
"Activid.inmobil., empres. y alquileres (058)",45,,6,6,29,,,,,4,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",113,5,2,2,59,1,,,1,40,3,
"Enseñanza (060)",427,1,421,1,2,,,,,2,,
"Servicios sociales y de salud (061)",65,,23,29,1,4,,,,8,,
"Otras activ. serv.comun.soc y personales (062)",34,,1,7,,3,,,,23,,
"Hogares privados con servicio doméstico (063)",214,,,,,,,,,214,,
"Actividad economica no especificada (065)",282,,,1,13,,,,,,,268
,,,,,,,,,,,,
"URBANA (066)",8495,22,760,332,350,1010,1754,703,682,2447,34,401
"Agric., ganadería, caza y silvicultura (067)",2801,,1,2,,1,1720,1,,1076,,
"Pesca (068)",182,,,,1,,34,,,147,,
"Explotación de minas y canteras (069)",340,,46,34,19,,,171,46,24,,
"Industrias manufactureras (070)",379,,8,7,4,3,,295,22,40,,
"Suministro de electricidad, gas y agua (071)",14,,,2,,,,2,2,8,,
"Construcción (072)",733,,32,47,9,,,130,347,168,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1099,,4,34,,726,,78,2,255,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",101,,3,13,,15,,68,,2,,
"Comercio al por mayor (075)",45,,,9,,31,,1,1,3,,
"Comercio al por menor (076)",953,,1,12,,680,,9,1,250,,
