"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia OCROS (000)",3399,10181,9072,,147,89.1,1.4
"De 12 a 14 años (001)",244,,,,,,
"De 15 a 19 años (002)",326,44,44,8,100,18.2,
"De 20 a 24 años (003)",318,269,266,43,98.9,16,
"De 25 a 29 años (004)",290,456,448,39,98.2,8.6,
"De 30 a 34 años (005)",297,650,636,22,97.8,3.4,
"De 35 a 39 años (006)",259,771,741,19,96.1,2.5,
"De 40 a 44 años (007)",246,960,910,15,94.8,1.6,
"De 45 a 49 años (008)",242,1079,985,1,91.3,0.1,
"De 50 y más años (009)",1177,5952,5042,,84.7,,
"Conviviente (010)",945,2946,2721,98,92.4,3.3,
"De 12 a 14 años (011)",2,,,,,,
"De 15 a 19 años (012)",42,28,28,4,100,14.3,
"De 20 a 24 años (013)",139,187,184,33,98.4,17.6,
"De 25 a 29 años (014)",152,298,292,29,98,9.7,
"De 30 a 34 años (015)",146,389,380,12,97.7,3.1,
"De 35 a 39 años (016)",107,352,337,9,95.7,2.6,
"De 40 a 44 años (017)",103,443,420,11,94.8,2.5,
"De 45 a 49 años (018)",81,370,320,,86.5,,
"De 50 y más años (019)",173,879,760,,86.5,,
"Separado(a) (020)",104,376,340,3,90.4,0.8,
"De 15 a 19 años (022)",1,1,1,,100,,
"De 20 a 24 años (023)",5,7,7,,100,,
"De 25 a 29 años (024)",11,18,18,,100,,
"De 30 a 34 años (025)",11,23,23,2,100,8.7,
"De 35 a 39 años (026)",8,24,22,1,91.7,4.2,
"De 40 a 44 años (027)",14,50,47,,94,,
"De 45 a 49 años (028)",13,49,48,,98,,
"De 50 y más años (029)",41,204,174,,85.3,,
"Casado(a) (030)",1081,4841,4348,33,89.8,0.7,
"De 15 a 19 años (032)",3,2,2,,100,,
"De 20 a 24 años (033)",27,42,42,6,100,14.3,
"De 25 a 29 años (034)",50,116,114,9,98.3,7.8,
"De 30 a 34 años (035)",81,194,193,5,99.5,2.6,
"De 35 a 39 años (036)",105,359,347,8,96.7,2.2,
"De 40 a 44 años (037)",102,416,396,4,95.2,1,
"De 45 a 49 años (038)",116,567,534,1,94.2,0.2,
"De 50 y más años (039)",597,3145,2720,,86.5,,
"Viudo(a) (040)",319,1723,1379,1,80,0.1,
"De 20 a 24 años (043)",2,3,3,,100,,
